10	vergessen	veressen	V	VVPP	_	6	aux	_	_
11	,	,	$	$,	_	0	root	_	_
12	was	was	P	PWS	Neut|_|Sg	0	root	_	_
13	?	?	$	$.	_	0	root	_	_

1	Christine	Christine	N	NE	Fem|Nom|Sg	2	subj	87	87
2	erhebt	erheben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	277	277
4	Kopf	Kopf	N	NN	Masc|Acc|Sg	2	obja	277	277
5	.	.	$	$.	_	0	root	_	_

1	Weiring	Weiring	N	NN	Masc|_|Sg	0	root	60	60
2	Na	Na	N	NE	Masc|_|Sg	1	app	60	60
3	ja	ja	A	ADV	_	2	adv	_	_
4	...	...	$	$.	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	522	522
6	-	-	$	$(	_	0	root	_	_
7	und	und	K	KON	_	5	kon	_	_
8	du	du	P	PPER	2|Sg|_|Nom	7	cj	521	521
9	!	!	$	$.	_	0	root	_	_

1	Christine	christin	A	ADJA	Pos|Masc|Nom|Sg|Wk|	2	attr	_	_
2	Vater	Vater	N	NN	Masc|Nom|Sg	4	vok	_	_
3	,	,	$	$,	_	0	root	_	_
4	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
5	du	du	P	PPER	2|Sg|_|Nom	4	subj	521	521
6	mich	ich	P	PPER	1|Sg|_|Acc	8	obja	522	522
7	denn	denn	A	ADV	_	8	adv	_	_
8	heut	heuen	V	VVPP	_	4	aux	_	_
9	früh	früh	A	ADJD	Pos|	8	adv	_	_
10	nicht	nicht	P	PTKNEG	_	8	adv	_	_
11	verstanden	verstehen	V	VVPP	_	0	root	_	_
12	?	?	$	$.	_	0	root	_	_
13	...	...	$	$.	_	0	root	_	_

1	Weiring	Weiring	N	NN	Masc|_|Sg	0	root	336	336
2	Ja	ja	P	PTKANT	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	was	was	P	PWS	Neut|_|Sg	5	obja	_	_
5	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
6	denn	denn	A	ADV	_	5	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	Christin	Christin	N	NN	Fem|_|Sg	5	vok	187	187
9	'	'	$	$(	_	0	root	_	_
10	?	?	$	$.	_	0	root	_	_
11	...	...	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	522	522
2	muß	müssen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	dir	du	P	PRF	2|Sg|Dat	5	objd	_	_
4	doch	doch	A	ADV	_	5	adv	_	_
5	sagen	sagen	V	VVINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	was	was	P	PWS	Neut|_|Sg	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	0	root	522	522
9	drüber	drüber	P	PROAV	_	0	root	_	_
10	denk	denken	V	VVIMP	Sg	0	root	_	_
11	'	'	$	$(	_	0	root	_	_
12	!	!	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	2	adv	_	_
2	wahr	wahr	A	ADJD	Pos|	0	root	_	_
3	?	?	$	$.	_	0	root	_	_

1	Na	Na	I	ITJ	_	0	root	_	_
2	also	also	A	ADV	_	0	root	_	_
3	...	...	$	$.	_	0	root	_	_

1	Christine	christin	A	ADJA	Pos|Masc|Nom|Sg|Wk|	2	attr	_	_
2	Vater	Vater	N	NN	Masc|Nom|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	was	was	P	PWS	Neut|_|Sg	7	obja	_	_
