15	uns	wir	P	PPER	1|Pl|_|Dat	14	pn	_	_
16	im	in	P	APPRART	Dat	24	pp	_	_
17	Tanz	Tanz	N	NN	Masc|Dat|Sg	16	pn	301	301
18	den	die	A	ART	Def|Masc|Acc|Sg	19	det	_	_
19	Schleier	Schleier	N	NN	Masc|Acc|Sg	24	obja	_	_
20	von	von	P	APPR	_	19	pp	_	_
21	der	die	A	ART	Def|Fem|_|Sg	22	det	61	61
22	Stirn	Stirn	N	NN	Fem|_|Sg	20	pn	61	61
23	zu	zu	P	PTKZU	_	24	part	_	_
24	reißen	reißen	V	VVINF	_	8	obji	_	_
25	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	riß	riß	V	VVFIN	_|Sg|_|_	0	root	_	_
3	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	3	3
4	die	die	A	ART	Def|Fem|_|Sg	5	det	_	_
5	Larve	Larve	N	NN	Fem|_|Sg	2	obja	_	_
6	vom	von	P	APPRART	Dat	5	pp	_	_
7	Gesicht	Gesicht	N	NN	Neut|Dat|Sg	6	pn	255	255
8	und	und	K	KON	_	2	kon	_	_
9	peitschte	peitschen	V	VVFIN	_|Sg|Past|_	8	cj	_	_
10	ihn	er	P	PPER	3|Sg|Masc|Acc	9	obja	3	3
11	hinaus	hinaus	P	PTKVZ	_	9	avz	_	_
12	.	.	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	-	-	$	$(	_	0	root	_	_
4	sie	sie	P	PPER	3|_|_|_	0	root	255	255
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Du	du	P	PPER	2|Sg|_|Nom	3	subj	_	_
3	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	vielleicht	vielleicht	A	ADV	_	11	adv	_	_
5	von	von	P	APPR	Dat	11	pp	_	_
6	einem	eine	A	ART	Indef|Neut|Dat|Sg	10	det	_	_
7	schönen	schön	A	ADJA	Pos|Neut|Dat|Sg|Wk|	10	attr	_	_
8	,	,	$	$,	_	0	root	_	_
9	jungen	jung	A	ADJA	Pos|_|Dat|_|_|	7	kon	_	_
10	Mädchen	Mädchen	N	NN	Neut|Dat|Sg	5	pn	_	_
11	gelesen	lesen	V	VVPP	_	3	aux	_	_
12	...	...	$	$.	_	0	root	_	_
13	es	es	P	PPER	3|Sg|Neut|Nom	14	subj	_	_
14	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	_
15	erst	erst	A	ADV	_	17	adv	_	_
16	wenige	wenige	A	PIDAT	Fem|_|Pl	17	det	_	_
17	Wochen	Woche	N	NN	Fem|_|Pl	14	obja	_	_
18	her	her	P	PTKVZ	_	14	avz	_	_
19	,	,	$	$,	_	0	root	_	_
20	die	die	P	PRELS	Fem|Nom|Sg	27	subj	416	416
21	am	an	P	APPRART	Dat	27	pp	_	_
22	Tag	Tag	N	NN	_|Dat|Sg	21	pn	_	_
23	vor	vor	P	APPR	Dat	27	pp	_	_
24	ihrer	ihre	A	PPOSAT	Fem|Dat|Sg	25	det	416	416
25	Hochzeit	Hochzeit	N	NN	Fem|Dat|Sg	23	pn	722	722
26	Gift	Gift	N	NN	_|_|Sg	27	obja	417	417
27	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	14	rel	_	_
28	.	.	$	$.	_	0	root	_	_
29	«	«	$	$(	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	3	3
2	erinnerte	erinnern	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	,	,	$	$,	_	0	root	_	_
5	auch	auch	A	ADV	_	7	adv	771	771
6	des	die	A	ART	Def|Masc|Gen|Sg	7	det	771	771
7	Namens	Name	N	NN	Masc|Gen|Sg	0	root	771	771
8	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	3	3
2	nannte	nennen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	417	417
4	.	.	$	$.	_	0	root	_	_

1	War	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	1	subj	_	_
3	nicht	nicht	P	PTKNEG	_	1	adv	_	_
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	5	det	_	_
5	Mädchen	Mädchen	N	NN	Neut|Nom|Sg	1	pred	_	_
6	aus	aus	P	APPR	Dat	5	pp	_	_
7	fürstlichem	fürstlich	A	ADJA	Pos|Neut|Dat|Sg|St|	8	attr	418	418
8	Hause	Haus	N	NN	Neut|Dat|Sg	6	pn	418	418
9	,	,	$	$,	_	0	root	418	418
10	das	die	P	PRELS	Neut|Nom|Sg	17	subj	418	418
