12	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	52	52
2	Dame	Dame	N	NN	Fem|Nom|Sg	3	subj	52	52
3	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	nach	nach	P	APPR	Dat	3	pp	_	_
5	Europa	Europa	N	NE	_|Dat|Sg	4	pn	206	206
6	,	,	$	$,	_	0	root	_	_
7	ohne	ohne	K	KOUI	_	12	konj	_	_
8	eine	eine	A	ART	Indef|Fem|_|Sg	9	det	_	_
9	Ahnung	Ahnung	N	NN	Fem|_|Sg	12	obja	_	_
10	davon	davon	P	PROAV	_	9	pp	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	haben	haben	V	VAINF	_	3	neb	_	_
13	,	,	$	$,	_	0	root	_	_
14	wieviel	wieviel	P	PWAV	_	0	root	_	_
15	ihr	ihre	A	PPOSAT	Neut|_|Sg	16	det	52	52
16	Geschimpfe	Geschimpfe	N	NN	Neut|_|Sg	0	root	_	_
17	dem	die	A	ART	Def|_|Dat|Sg	19	det	413	413
18	alten	alt	A	ADJA	Pos|_|Dat|Sg|Wk|	19	attr	413	413
19	Mr.	Mr.	N	NN	_|Dat|Sg	0	root	413	413

1	Weller	Weller	N	NN	_|Nom|Sg	3	subj	16	16
2	genützt	nützen	V	VVPP	_	3	aux	_	_
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Möge	mögen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
2	jedes	jede	A	PIDAT	Neut|Nom|Sg	3	det	_	_
3	Geschimpfe	Geschimpfe	N	NN	Neut|Nom|Sg	1	subj	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	nützlich	nützlich	A	ADJD	Pos|	6	pred	_	_
6	sein	sein	V	VAINF	_	1	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	-	-	$	$(	_	0	root	_	_
3	Floras	Floras	N	NE	_|Gen|_	5	gmod	178	178
4	glückliche	glücklich	A	ADJA	Pos|Neut|_|Pl|St|	5	attr	259	259
5	Augen	Auge	N	NN	Neut|_|Pl	9	obja	259	259
6	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	86	86
8	niemals	niemals	A	ADV	_	9	adv	_	_
9	vergessen	vergessen	V	VVINF	_	6	aux	_	_
10	.	.	$	$.	_	0	root	_	_

1	Hier	hier	A	ADV	_	2	adv	_	_
2	sehen	sehen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	259	259
4	eine	eine	A	ART	Indef|Fem|_|Sg	5	det	415	415
5	Photographie	Photographie	N	NN	Fem|_|Sg	2	obja	415	415
6	von	von	P	APPR	_	5	pp	415	415
7	Fräulein	Fräulein	N	NN	Neut|_|_	6	pn	60	60
8	Flora	Flora	N	NE	Neut|_|_	7	app	60	60
9	Mohr	Mohr	N	NE	Neut|_|_	8	app	60	60
10	.	.	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_
12	Der	die	A	ART	Def|Masc|Nom|Sg	13	det	1	1
13	Baron	Baron	N	NN	Masc|Nom|Sg	14	subj	1	1
