2	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	mich	ich	P	PRF	1|Sg|Acc	6	obja	_	_
4	gleich	gleich	A	ADJD	Pos|	6	adv	_	_
5	schriftlich	schriftlich	A	ADJD	Pos|	6	adv	_	_
6	entschuldigen	entschuldigen	V	VVINF	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	wenn	wenn	K	KOUS	_	13	konj	_	_
9	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	_	_
10	ins	in	P	APPRART	Acc	12	objp	_	_
11	Hotel	Hotel	N	NN	Neut|Acc|Sg	10	pn	_	_
12	gekommen	kommen	V	VVPP	_	13	aux	_	_
13	sind	sein	V	VAFIN	1|Pl|Pres|Ind	2	neb	_	_
14	.	.	$	$.	_	0	root	_	_

1	Fahren	fahren	V	VVFIN	3|Pl|Pres|_	0	root	_	_
2	Sie	sie	P	PPER	3|Pl|_|Nom	1	subj	_	_
3	schneller	schnell	A	ADJD	Comp|	1	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	Chauffeur	Chauffeur	N	NN	Masc|_|Sg	1	vok	_	_
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	Der	die	P	PDS	Masc|Nom|Sg	2	subj	_	_
2	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	nun	nun	A	ADV	_	2	adv	_	_
4	sehr	sehr	A	ADV	_	5	adv	_	_
5	schnell	schnell	A	ADJD	Pos|	2	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	14	konj	_	_
8	die	die	A	ART	Def|Fem|Nom|Pl	9	det	_	_
9	Wogen	Woge	N	NN	Fem|Nom|Pl	14	subj	_	_
10	des	die	A	ART	Def|Masc|Gen|Sg	12	det	492	492
11	großen	groß	A	ADJA	Pos|Masc|Gen|Sg|_|	12	attr	492	492
12	Ozeans	Ozean	N	NN	Masc|Gen|Sg	9	gmod	492	492
13	hoch	hoch	A	ADJD	Pos|	14	adv	_	_
14	aufspritzten	aufspritzen	V	VVFIN	3|Pl|Past|_	2	objc	_	_
15	unter	unter	P	APPR	Dat	14	pp	_	_
16	den	die	A	ART	Def|Neut|Dat|Pl	17	det	_	_
17	Gummirädern	Gummirad	N	NN	Neut|Dat|Pl	15	pn	_	_
