2	drückte	drücken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	25	25
4	die	die	A	ART	Def|Fem|_|Sg	5	det	_	_
5	Ermüdung	Ermüdung	N	NN	Fem|_|Sg	2	obja	_	_
6	so	so	A	ADV	_	7	adv	_	_
7	sinnreich	sinnreich	A	ADJD	Pos|	2	adv	_	_
8	aus	aus	P	PTKVZ	_	2	avz	_	_
9	,	,	$	$,	_	0	root	_	_
10	daß	daß	K	KOUS	_	17	konj	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	17	subj	25	25
12	ein	eine	A	ART	Indef|_|_|Sg	13	det	_	_
13	weniges	wenig	A	ADJA	Neut|_|Sg	17	obja	_	_
14	mit	mit	P	APPR	Dat	17	pp	_	_
15	den	die	A	ART	Def|_|Dat|Pl	16	det	_	_
16	Knieen	Knieen	N	NN	_|Dat|Pl	14	pn	_	_
17	knickte	knicken	V	VVFIN	3|Sg|Past|_	2	neb	_	_
18	und	und	K	KON	_	17	kon	_	_
19	knackte	knacken	V	VVFIN	_|Sg|Past|_	18	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	wenn	wenn	K	KOUS	_	25	konj	_	_
22	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	25	25
23	zum	zu	P	APPRART	Dat	22	pp	_	_
24	Stillstehn	Stillstehn	N	NN	_|Dat|_	23	pn	_	_
25	kam	kommen	V	VVFIN	3|Sg|Past|Ind	19	neb	_	_
26	;	;	$	$.	_	0	root	_	_
27	nichts	nichts	P	PIS	_	0	root	_	_
28	da	da	A	ADV	_	29	adv	_	_
29	vom	von	P	APPRART	Dat	27	pp	_	_
30	Schweißabtrocknen	Schweißabtrocknen	N	NN	Neut|Dat|Sg	29	pn	_	_
31	,	,	$	$,	_	0	root	_	_
32	wie	wie	P	PWAV	_	36	adv	_	_
33	ein	eine	A	ART	Indef|Masc|Nom|Sg	35	det	_	_
34	ordinärer	ordinär	A	ADJA	Pos|Masc|Nom|Sg|St|	35	attr	_	_
35	Künstler	Künstler	N	NN	Masc|Nom|Sg	38	subj	_	_
36	getan	tun	V	VVPP	_	37	aux	_	_
37	haben	haben	V	VAINF	_	38	aux	_	_
38	würde	werden	V	VAFIN	3|Sg|Past|Subj	30	objc	_	_
39	;	;	$	$.	_	0	root	_	_
40	nein	nein	P	PTKANT	_	0	root	_	_
41	,	,	$	$,	_	0	root	_	_
42	dazu	dazu	P	PROAV	_	43	pp	_	_
43	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
44	er	er	P	PPER	3|Sg|Masc|Nom	43	subj	25	25
45	keine	keine	A	PIAT	Fem|Nom|Sg	46	det	_	_
46	Zeit	Zeit	N	NN	Fem|Nom|Sg	0	root	_	_
47	,	,	$	$,	_	0	root	_	_
48	der	die	A	ART	Def|_|_|_	49	det	_	_
49	Erste	erst	A	ADJA	Masc|Nom|Sg	46	kon	_	_
50	,	,	$	$,	_	0	root	_	_
51	Einzige	einzig	A	ADJA	Pos|_|_|_|_|	49	kon	_	_
52	,	,	$	$,	_	0	root	_	_
53	Übermenschliche	Übermenschliche	N	NN	_|_|_	49	kon	_	_
54	,	,	$	$,	_	0	root	_	_
55	Riesenhafte	Riesenhafte	N	NN	_|_|_	53	kon	_	_
56	,	,	$	$,	_	0	root	_	_
57	Titanenmäßige	Titanenmäßige	N	NN	_|_|_	55	kon	_	_
58	!	!	$	$.	_	0	root	_	_

1	Fischer	Fischer	N	NE	_	0	root	2	2
2	:	\:	$	$.	_	0	root	_	_
3	Er	er	P	PPER	3|Sg|Masc|Nom	4	subj	1	1
4	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
5	ordentlich	ordentlich	A	ADJD	Pos|	4	adv	_	_
6	in	in	P	APPR	_	4	pp	_	_
7	den	die	A	ART	Def|_|_|_	8	det	723	723
8	Hymnus	Hymnus	N	NN	_|_|_	6	pn	723	723
9	,	,	$	$,	_	0	root	_	_
10	nun	nun	A	ADV	_	12	adv	_	_
11	das	die	A	ART	Def|Neut|Nom|Sg	12	det	_	_
12	Sperrwerk	Sperrwerk	N	NN	Neut|Nom|Sg	14	subj	_	_
13	fort	fort	P	PTKVZ	_	14	avz	_	_
