11	und	und	K	KON	_	2	kon	_	_
12	am	an	P	APPRART	Dat	15	pp	_	_
13	nächsten	nah	A	ADJA	_|_|Dat|_|_|	14	attr	_	_
14	Morgen	Morgen	N	NN	_|Dat|_	12	pn	_	_
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	11	cj	_	_
16	aus	aus	P	APPR	Dat	21	pp	_	_
17	jedem	jede	A	PIAT	Neut|Dat|Sg	18	det	_	_
18	Zwanzigmarkstück	Zwanzigmarkstück	N	NN	Neut|Dat|Sg	16	pn	_	_
19	ein	eine	A	ART	Indef|Masc|Nom|Sg	20	det	_	_
20	Baum	Baum	N	NN	Masc|Nom|Sg	15	subj	_	_
21	gewachsen	wachsen	V	VVPP	_	15	aux	_	_
22	,	,	$	$,	_	0	root	_	_
23	hoch	hoch	A	ADJD	Pos|	35	adv	_	_
24	,	,	$	$,	_	0	root	_	_
25	breit	breit	A	ADJD	Pos|	23	kon	_	_
26	wie	wie	K	KOKOM	_	25	kom	_	_
27	ein	eine	A	ART	Indef|Masc|Nom|Sg	29	det	_	_
28	alter	alt	A	ADJA	Pos|Masc|Nom|Sg|St|	29	attr	_	_
29	Walnußbaum	Walnußbaum	N	NN	Masc|Nom|Sg	26	cj	_	_
30	,	,	$	$,	_	0	root	_	_
31	und	und	K	KON	_	25	kon	_	_
32	an	an	P	APPR	Dat	31	cj	_	_
33	dem	die	A	ART	Def|Masc|Dat|Sg	34	det	228	228
34	Baum	Baum	N	NN	Masc|Dat|Sg	32	pn	228	228
35	hängen	hängen	V	VVFIN	3|Pl|Pres|_	15	kon	_	_
36	tausend	tausend	C	CARD	_	39	attr	229	229
37	und	und	K	KON	_	36	kon	229	229
38	tausend	tausend	C	CARD	_	37	cj	229	229
39	Nüsse	Nuss	N	NN	Fem|Nom|Pl	35	subj	229	229
40	,	,	$	$,	_	0	root	_	_
41	und	und	K	KON	_	35	kon	_	_
42	in	in	P	APPR	Dat	45	pp	_	_
43	jeder	jede	A	PIDAT	Fem|Dat|Sg	44	det	_	_
44	Nuß	Nuß	N	NN	Fem|Dat|Sg	42	pn	_	_
45	ist	sein	V	VAFIN	3|Sg|Pres|Ind	41	cj	_	_
46	ein	eine	A	ART	Indef|Neut|Nom|Sg	47	det	_	_
47	Zwanzigmarkstück	Zwanzigmarkstück	N	NN	Neut|Nom|Sg	45	subj	_	_
48	.	.	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	227	227
2	brauchst	brauchen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	bloß	bloß	A	ADV	_	2	adv	_	_
4	zu	zu	P	PTKZU	_	5	part	_	_
5	schütteln	schütteln	V	VVINF	_	2	obji	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	2	kon	_	_
8	sie	sie	P	PPER	3|Pl|_|Nom	9	subj	229	229
9	fallen	fallen	V	VVFIN	3|Pl|Pres|_	7	cj	_	_
10	herunter	herunter	A	ADV	_	9	adv	_	_
11	.	.	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wobei	Wobei	P	PWAV	_	7	adv	_	_
3	du	du	P	PPER	2|Sg|_|Nom	8	subj	227	227
4	dich	du	P	PPER	2|Sg|_|Acc	7	obja	227	227
5	nur	nur	A	ADV	_	7	adv	_	_
6	zu	zu	P	PTKZU	_	7	part	_	_
7	hüten	hüten	V	VVINF	_	8	aux	_	_
8	hast	haben	V	VAFIN	2|Sg|Pres|Ind	11	objc	_	_
9	«	«	$	$(	_	0	root	_	_
