18	Bedürfnis	Bedürfnis	N	NN	Neut|_|Sg	19	obja	1565	1565
19	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	etwas	etwas	P	PIS	_	23	obja	_	_
22	zu	zu	P	PTKZU	_	23	part	_	_
23	zerfleischen	zerfleischen	V	VVINF	_	19	obji	_	_
24	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	schloß	schloß	V	VVFIN	3|Sg|_|_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	0	0
4	die	die	A	ART	Def|_|_|_	5	det	_	_
5	Thür	Thür	N	NN	_|_|_	2	obja	_	_
6	aus	aus	P	PTKVZ	_	2	avz	_	_
7	und	und	K	KON	_	2	kon	_	_
8	ging	gehen	V	VVFIN	_|Sg|Past|Ind	7	cj	_	_
9	ins	in	P	APPRART	Acc	8	objp	_	_
10	Gartenhaus	Gartenhaus	N	NN	Neut|Acc|Sg	9	pn	717	717
11	.	.	$	$.	_	0	root	_	_

1	Mit	mit	P	APPR	Dat	4	pp	_	_
2	einem	eine	A	ART	Indef|Masc|Dat|Sg	3	det	_	_
3	Fußstoße	Fußstoß	N	NN	Masc|Dat|Sg	1	pn	_	_
4	öffnete	öffnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	0	0
6	die	die	A	ART	Def|_|_|_	7	det	787	787
7	Deckthür	Deckthür	N	NN	_|_|_	4	obja	787	787
8	zu	zu	P	APPR	Dat	4	pp	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	10	det	_	_
10	Versenkung	Versenkung	N	NN	Fem|Dat|Sg	8	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	wo	wo	P	PWAV	_	15	adv	_	_
13	die	die	A	ART	Def|Masc|Nom|Pl	14	det	786	786
14	Koffer	Koffer	N	NN	Masc|Nom|Pl	15	subj	786	786
15	standen	stehen	V	VVFIN	3|Pl|Past|Ind	10	rel	_	_
16	und	und	K	KON	_	15	kon	_	_
17	spuckte	spucken	V	VVFIN	_|Sg|Past|_	16	cj	_	_
18	auf	auf	P	APPR	Acc	17	pp	_	_
19	diese	diese	P	PDS	_|Acc|_	18	pn	_	_
20	.	.	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	0	0
4	die	die	A	ART	Def|_|_|_	5	det	787	787
5	Deckthür	Deckthür	N	NN	_|_|_	2	obja	787	787
6	zu	zu	P	PTKVZ	_	2	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	daß	daß	K	KOUS	_	10	konj	_	_
9	es	es	P	PPER	3|Sg|Neut|Nom	10	subj	_	_
10	krachte	krachen	V	VVFIN	3|Sg|Past|_	2	neb	_	_
11	und	und	K	KON	_	2	kon	_	_
12	setzte	setzen	V	VVFIN	_|Sg|Past|_	11	cj	_	_
13	sich	sie	P	PRF	3|_|_	12	obja	_	_
14	auf	auf	P	APPR	Acc	12	objp	_	_
15	einen	eine	A	ART	Indef|Masc|Acc|Sg	16	det	_	_
16	Gartenstuhl	Gartenstuhl	N	NN	Masc|Acc|Sg	14	pn	_	_
17	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Masc|Nom|Sg	2	det	_	_
2	Windstoß	Windstoß	N	NN	Masc|Nom|Sg	3	subj	_	_
3	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	die	die	A	ART	Def|_|_|_	5	det	324	324
5	Thüre	Thüre	N	NN	_|_|_	3	obja	324	324
6	zu	zu	P	PTKVZ	_	3	avz	_	_
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	3	kon	_	_
9	nun	nun	A	ADV	_	10	adv	_	_
10	war	sein	V	VAFIN	3|Sg|Past|Ind	8	cj	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	324	324
12	im	in	P	APPRART	Dat	10	pp	_	_
13	Dunkeln	Dunkeln	N	NN	Neut|Dat|Sg	12	pn	_	_
14	allein	allein	A	ADV	_	12	adv	_	_
15	mit	mit	P	APPR	Dat	10	pp	_	_
16	seiner	seine	A	PPOSAT	Fem|Dat|Sg	18	det	324	324
17	kochenden	kochend	A	ADJA	Pos|Fem|Dat|Sg|Wk|<PPRES	18	attr	_	_
18	Wut	Wut	N	NN	Fem|Dat|Sg	15	pn	_	_
19	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	thun	thun	N	NE	_	0	root	135	135
3	?	?	$	$.	_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
2	thun	thun	N	NE	_	0	root	135	135
3	?	?	$	$.	_	0	root	_	_

1	Ah	Ah	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	vor	vor	P	APPR	_	0	root	_	_
4	Allem	Allem	N	NN	_|_|_	3	pn	_	_
5	Eins	Eins	N	NE	_|_|_	4	app	_	_
6	:	\:	$	$.	_	0	root	_	_
7	Rache	Rache	N	NN	Fem|_|Sg	0	root	_	_
8	an	an	P	APPR	Dat	7	pp	_	_
9	diesem	diese	A	PDAT	Masc|Dat|Sg	11	det	_	_
10	feigen	feig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	11	attr	_	_
11	Hund	Hund	N	NN	Masc|Dat|Sg	8	pn	_	_
12	!	!	$	$.	_	0	root	_	_

1	Hin	hin	A	ADV	_	2	adv	_	_
2	zu	zu	P	APPR	Dat	9	pp	_	_
3	Girlinger	Girlinger	N	NN	_|Dat|Sg	2	pn	453	453
4	und	und	K	KON	_	3	kon	_	_
5	ihm	er	P	PPER	3|Sg|_|Dat	4	cj	0	0
6	laut	laut	A	ADJD	Pos|	9	adv	_	_
7	ins	in	P	APPRART	Acc	9	pp	_	_
8	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	7	pn	471	471
9	schreien	schreien	V	VVINF	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	was	was	P	PRELS	Neut|Nom|Sg	17	subj	471	471
12	für	für	P	APPR	Acc	17	pp	_	_
13	ein	eine	A	ART	Indef|Neut|Acc|Sg	15	det	_	_
14	erbärmliches	erbärmlich	A	ADJA	Pos|Neut|Acc|Sg|St|	15	attr	_	_
15	Subjekt	Subjekt	N	NN	Neut|Acc|Sg	12	pn	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	17	pred	0	0
17	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
18	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|_|Sg	3	det	_	_
2	ganze	ganz	A	ADJA	Pos|Neut|_|Sg|Wk|	3	attr	_	_
3	Haus	Haus	N	NN	Neut|_|Sg	0	root	_	_
4	zusammenschrein	zusammenschrein	A	ADJD	Pos|	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Ihm	er	P	PPER	3|Sg|_|Dat	0	root	453	453
2	den	die	A	ART	Def|Masc|Acc|Sg	3	det	_	_
3	Koffer	Koffer	N	NN	Masc|Acc|Sg	0	root	_	_
4	vor	vor	P	APPR	Acc	3	pp	_	_
5	die	die	A	ART	Def|Masc|Acc|Pl	6	det	788	788
6	Füße	Fuß	N	NN	Masc|Acc|Pl	4	pn	788	788
7	,	,	$	$,	_	0	root	_	_
8	nein	nein	P	PTKANT	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	vor	vor	P	APPR	Acc	13	pp	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	789	789
12	Bauch	Bauch	N	NN	Masc|Acc|Sg	10	pn	789	789
13	werfen	werfen	V	VVINF	_	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	ihn	er	P	PPER	3|Sg|Masc|Acc	3	obja	789	789
3	prügeln	prügeln	V	VVFIN	_|Pl|Pres|_	1	cj	_	_
4	!	!	$	$.	_	0	root	_	_

1	Prügeln	prügeln	V	VVINF	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Unsäglich	unsäglich	A	ADJD	Pos|	4	adv	_	_
2	und	und	K	KON	_	1	kon	_	_
3	lange	lange	A	ADJD	_	2	cj	_	_
4	prügeln	prügeln	V	VVINF	_	0	root	_	_
5	!	!	$	$.	_	0	root	_	_

1	Ach	ach	I	ITJ	_	0	root	_	_
2	was	was	P	PIS	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	erschießen	erschießen	V	VVINF	_	5	aux	_	_
5	müßte	müssen	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
6	man	man	P	PIS	_|Nom|Sg	5	subj	_	_
7	ihn	er	P	PPER	3|Sg|Masc|Acc	4	obja	0	0
8	!	!	$	$.	_	0	root	_	_

1	Erschießen	erschießen	V	VVINF	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|_|Nom|Sg	4	det	_	_
4	Gedanke	Gedanke	N	NN	_|Nom|Sg	2	pred	_	_
5	!	!	$	$.	_	0	root	_	_

1	Ah	Ah	I	ITJ	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	und	und	K	KON	_	0	root	_	_
4	da	da	A	ADV	_	5	adv	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	3	cj	_	_
6	ja	ja	A	ADV	_	5	adv	_	_
7	auch	auch	A	ADV	_	5	adv	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	712	712
9	Revolver	Revolver	N	NN	Masc|Nom|Sg	5	subj	712	712
10	!	!	$	$.	_	0	root	_	_

1	Gottseidank	Gottseidank	N	NE	_	0	root	790	790
2	,	,	$	$,	_	0	root	_	_
3	daß	daß	K	KOUS	_	7	konj	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	790	790
5	so	so	A	ADV	_	6	adv	_	_
6	groß	groß	A	ADJD	Pos|	7	pred	_	_
7	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	war	sein	V	VAFIN	_|Sg|Past|Ind	1	cj	_	_
4	schon	schon	A	ADV	_	3	adv	_	_
5	mehr	mehr	A	PIAT	Fem|Nom|Sg	6	det	187	187
6	blos	blos	N	NN	Fem|Nom|Sg	3	pred	187	187
7	pathetische	pathetisch	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	187	187
8	Zierleiste	Zierleiste	N	NN	Fem|Nom|Sg	6	app	187	187
9	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	0	0
2	merkte	merken	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
4	selber	selber	A	ADV	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	0	root	_	_
7	den	die	A	ART	Def|Masc|_|_	8	det	_	_
8	Gedanken	Gedanke	N	NN	Masc|_|_	18	obja	_	_
9	,	,	$	$,	_	0	root	_	_
10	sich	sie	P	PRF	3|_|_	16	obja	_	_
11	hinter	hinter	P	APPR	_	16	pp	_	_
12	her	her	A	ADV	_	11	adv	_	_
13	etwa	etwa	A	ADV	_	16	adv	_	_
14	selber	selber	A	ADV	_	16	adv	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	erschießen	erschießen	V	VVINF	_	8	obji	_	_
17	,	,	$	$,	_	0	root	_	_
18	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	6	cj	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	0	0
20	nur	nur	A	ADV	_	18	adv	_	_
21	ganz	ganz	A	ADV	_	22	adv	_	_
22	von	von	P	APPR	_	24	pp	_	_
23	Ferne	Ferne	N	NN	Fem|_|Sg	22	pn	_	_
24	vorbeidrohen	vorbeidrohen	V	VVINF	_	18	obji	_	_
25	.	.	$	$.	_	0	root	_	_

1	Überhaupt	überhaupt	A	ADV	_	0	root	_	_
2	nein	nein	P	PTKANT	_	0	root	_	_
3	:	\:	$	$.	_	0	root	_	_
4	Weder	weder	K	KON	_	5	kon	_	_
5	Prügel	Prügel	N	NN	_|_|_	0	root	_	_
6	noch	noch	K	KON	_	5	kon	_	_
7	Revolver	Revolver	N	NN	Masc|_|_	6	cj	_	_
8	,	,	$	$,	_	0	root	_	_
9	nur	nur	A	ADV	_	10	adv	_	_
10	Verachtung	Verachtung	N	NN	Fem|_|Sg	7	kon	_	_
11	!	!	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|Neut|Nom|Sg	3	det	_	_
2	einziges	einzig	A	ADJA	Pos|Neut|Nom|Sg|St|	3	attr	_	_
3	Wort	Wort	N	NN	Neut|Nom|Sg	7	subj	_	_
4	auf	auf	P	APPR	Acc	7	objp	_	_
5	eine	eine	A	ART	Indef|Fem|Acc|Sg	6	det	_	_
6	Postkarte	Postkarte	N	NN	Fem|Acc|Sg	4	pn	_	_
7	geschrieben	schreiben	V	VVPP	_	0	root	_	_
8	:	\:	$	$.	_	0	root	_	_
9	Lump	Lump	N	NN	Masc|_|Sg	0	root	2154	2154
10	!	!	$	$.	_	0	root	_	_

1	und	und	K	KON	_	0	root	_	_
2	dann	dann	A	ADV	_	1	cj	_	_
3	fort	fort	P	PTKVZ	_	0	root	_	_
4	!	!	$	$.	_	0	root	_	_

1	Fort	fort	P	PTKVZ	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Fort	fort	P	PTKVZ	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Fort	fort	P	PTKVZ	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	791	791
2	rüttelte	rütteln	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	das	die	A	ART	Def|Neut|_|Sg	4	det	673	673
4	Wort	Wort	N	NN	Neut|_|Sg	2	obja	673	673
5	in	in	P	APPR	_	2	pp	_	_
6	sich	sie	P	PRF	3|_|_	5	pn	_	_
7	hin	hin	P	PTKVZ	_	2	avz	_	_
8	und	und	K	KON	_	0	root	_	_
9	her	her	P	PTKVZ	_	0	root	_	_
10	.	.	$	$.	_	0	root	_	_

1	Fort	fort	P	PTKVZ	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Fort	fort	P	PTKVZ	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	3	koord	_	_
2	es	es	P	PPER	3|Sg|Neut|Nom	3	subj	_	_
3	geschah	geschehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	halb	halb	A	ADJD	Pos|	5	adv	_	_
5	mechanisch	mechanisch	A	ADJD	Pos|	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	0	root	_	_
8	er	er	P	PPER	3|Sg|Masc|Nom	0	root	791	791
9	sich	sie	P	PRF	3|_|_	0	root	_	_
10	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
11	in	in	P	APPR	Dat	15	pp	_	_
12	plumpen	plump	A	ADJA	Pos|Masc|Dat|Pl|_|	13	attr	_	_
13	Stößen	Stoß	N	NN	Masc|Dat|Pl	11	pn	_	_
14	immer	immer	A	ADV	_	15	adv	_	_
15	wiederholte	wiederholen	V	VVFIN	_|Sg|Past|_	0	root	_	_
16	.	.	$	$.	_	0	root	_	_

1	Fort	fort	P	PTKVZ	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Fort	fort	P	PTKVZ	_	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	Natürlich	natürlich	A	ADJD	Pos|	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Fort	Fort	N	NN	Neut|_|Sg	0	root	1436	1436
4	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	0	0
2	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	_
3	doch	doch	A	ADV	_	10	adv	_	_
4	wohl	wohl	A	ADV	_	10	adv	_	_
5	wegen	wegen	P	APPR	_	10	pp	_	_
6	dieser	diese	A	PDAT	Fem|_|Sg	7	det	_	_
7	Kanaille	Kanaille	N	NN	Fem|_|Sg	5	pn	_	_
8	nicht	nicht	P	PTKNEG	_	10	adv	_	_
9	hier	hier	A	ADV	_	10	adv	_	_
10	bleiben	bleiben	V	VVINF	_	2	aux	_	_
11	!	!	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	diese	diese	A	PDAT	Fem|Nom|Sg	3	det	_	_
3	Bestie	Bestie	N	NN	Fem|Nom|Sg	4	subj	_	_
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
5	ja	ja	A	ADV	_	4	adv	_	_
6	das	die	A	ART	Def|Neut|_|Sg	7	det	792	792
7	Kursbuch	Kursbuch	N	NN	Neut|_|Sg	4	obja	792	792
8	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	ganze	ganz	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Reiseplan	Reiseplan	N	NN	Masc|Nom|Sg	4	subj	_	_
4	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
5	ja	ja	A	ADV	_	4	adv	_	_
6	bei	bei	P	APPR	Dat	4	pp	_	_
7	ihm	er	P	PPER	3|Sg|_|Dat	6	pn	0	0
8	!	!	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	0	0
2	Wickelkind	Wickelkind	N	NN	Neut|_|Sg	3	obja	_	_
3	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
4	ihm	er	P	PPER	3|Sg|_|Dat	3	objd	0	0
5	ja	ja	A	ADV	_	3	adv	_	_
6	Alles	alle	P	PIS	_|_|Sg	3	adv	_	_
7	überlassen	überlassen	V	VVINF	_	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	Sonderbar	Sonderbar	N	NN	_|_|Sg	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	Der	die	A	ART	Def|Masc|Nom|Sg	4	det	_	_
4	Gedanke	Gedanke	N	NN	Masc|Nom|Sg	18	subj	_	_
5	,	,	$	$,	_	0	root	_	_
6	sich	sie	P	PRF	3|_|Dat	11	objd	_	_
7	nun	nun	A	ADV	_	11	adv	_	_
8	selbst	selbst	A	ADV	_	11	adv	_	_
9	ein	eine	A	ART	Indef|Neut|_|Sg	10	det	_	_
10	Kursbuch	Kursbuch	N	NN	Neut|_|Sg	11	obja	_	_
11	anzuschaffen	anschaffen	V	VVIZU	_	4	obji	_	_
12	und	und	K	KON	_	11	kon	_	_
13	einen	eine	A	ART	Indef|Masc|Acc|Sg	14	det	_	_
14	Reiseplan	Reiseplan	N	NN	Masc|Acc|Sg	16	obja	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	machen	machen	V	VVINF	_	12	cj	_	_
17	,	,	$	$,	_	0	root	_	_
18	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
19	ihm	er	P	PPER	3|Sg|_|Dat	18	objd	0	0
20	nicht	nicht	P	PTKNEG	_	18	adv	_	_
21	.	.	$	$.	_	0	root	_	_

1	Dafür	Dafür	P	PROAV	_	2	pp	_	_
2	entwarf	entwerfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	0	0
4	bereits	bereits	A	ADV	_	2	adv	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	793	793
6	Brief	Brief	N	NN	Masc|Acc|Sg	2	obja	793	793
7	,	,	$	$,	_	0	root	793	793
8	den	die	P	PRELS	Masc|Acc|Sg	19	obja	793	793
9	er	er	P	PPER	3|Sg|Masc|Nom	20	subj	0	0
10	nach	nach	P	APPR	Dat	19	pp	_	_
11	seiner	seine	A	PPOSAT	Fem|Dat|Sg	12	det	0	0
12	Ankunft	Ankunft	N	NN	Fem|Dat|Sg	10	pn	_	_
13	in	in	P	APPR	_	19	pp	_	_
14	Athen	Athen	N	NE	Neut|_|Sg	13	pn	756	756
15	»	»	$	$(	_	0	root	_	_
16	diesem	diese	A	PDAT	_|Dat|Sg	17	det	_	_
17	Elenden	Elende	N	NN	_|Dat|Sg	19	objd	_	_
18	«	«	$	$(	_	0	root	_	_
19	schicken	schicken	V	VVINF	_	20	aux	_	_
20	wollte	wollen	V	VMFIN	3|Sg|Past|_	6	rel	_	_
21	:	\:	$	$.	_	0	root	_	_
22	»	»	$	$(	_	0	root	_	_
23	Hier	hier	A	ADV	_	24	adv	_	_
