29	Tür	Tür	N	NN	Fem|Acc|Sg	27	pn	507	507
30	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	7	obja	_	_
4	das	die	A	ART	Def|Neut|Nom|Sg	5	det	622	622
5	Gesindel	Gesindel	N	NN	Neut|Nom|Sg	2	subj	622	622
6	gleich	gleich	A	ADJD	Pos|	7	adv	_	_
7	packen	packen	V	VVINF	_	2	aux	_	_
8	?	?	$	$.	_	0	root	_	_

1	Weg	weg	A	ADV	_	2	adv	_	_
2	da	da	A	ADV	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	ihr	ihre	A	PPOSAT	_|_|Sg	5	det	507	507
5	Elenden	Elende	N	NN	_|_|Sg	0	root	986	986
6	!	!	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	0	root	_	_
2	weg	weg	A	ADV	_	1	adv	_	_
3	da	da	A	ADV	_	1	adv	_	_
4	!	!	$	$.	_	0	root	_	_

1	schrie	schreien	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	623	623
3	Kronprinz	Kronprinz	N	NN	Masc|Nom|Sg	1	subj	623	623
4	,	,	$	$,	_	0	root	623	623
5	der	die	P	PRELS	Masc|Nom|Sg	10	subj	623	623
6	nur	nur	A	ADV	_	9	adv	_	_
7	auf	auf	P	APPR	Acc	9	pp	_	_
8	sie	sie	P	PPER	3|_|_|Acc	7	pn	507	507
9	gewartet	warten	V	VVPP	_	10	aux	_	_
10	hatte	haben	V	VAFIN	3|Sg|Past|Ind	3	rel	_	_
11	und	und	K	KON	_	0	root	_	_
12	nun	nun	A	ADV	_	13	adv	_	_
13	mit	mit	P	APPR	Dat	11	cj	_	_
14	drei	drei	C	CARD	_	13	pn	_	_
15	,	,	$	$,	_	0	root	_	_
16	vier	vier	C	CARD	_	17	attr	_	_
17	Sätzen	Satz	N	NN	Masc|Dat|Pl	21	objd	_	_
18	auf	auf	P	APPR	Acc	21	pp	_	_
19	sie	sie	P	PPER	3|_|_|Acc	18	pn	507	507
20	los	los	P	PTKVZ	_	21	avz	_	_
21	sprang	springen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
22	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	2	2
2	warf	werfen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ihr	ihr	P	PPER	3|Sg|Fem|Dat	2	objd	507	507
4	aus	aus	P	APPR	Dat	2	pp	_	_
5	weitgeöffneten	weitgeöffnet	A	ADJA	Pos|Neut|Dat|Pl|_|	6	attr	_	_
6	Augen	Auge	N	NN	Neut|Dat|Pl	4	pn	_	_
7	einen	eine	A	ART	Indef|Masc|Acc|Sg	9	det	_	_
8	wütenden	wütend	A	ADJA	Pos|Masc|Acc|Sg|_|_	9	attr	_	_
9	Blick	Blick	N	NN	Masc|Acc|Sg	2	obja	_	_
10	zu	zu	P	PTKVZ	_	2	avz	_	_
11	,	,	$	$,	_	0	root	_	_
12	trat	treten	V	VVFIN	_|Sg|Past|Ind	2	kon	_	_
13	dicht	dicht	A	ADJD	Pos|	12	adv	_	_
14	an	an	P	APPR	Acc	12	pp	_	_
15	sie	sie	P	PPER	3|_|_|Acc	14	pn	507	507
16	heran	heran	P	PTKVZ	_	12	avz	_	_
17	und	und	K	KON	_	12	kon	_	_
18	hielt	halten	V	VVFIN	_|Sg|Past|Ind	17	cj	_	_
19	ihr	ihre	A	PPOSAT	_|_|Sg	21	det	507	507
20	beide	beide	A	PIDAT	_|_|Pl	21	attr	_	_
21	Fäuste	Faust	N	NN	_|_|Sg	18	obja	_	_
22	unter	unter	P	APPR	Acc	18	pp	_	_
23	die	die	A	ART	Def|Fem|Acc|Sg	24	det	1173	1173
24	Nase	Nase	N	NN	Fem|Acc|Sg	22	pn	1173	1173
25	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Wer	wer	P	PWS	_|Nom|Sg	3	pred	_	_
3	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	624	624
5	denn	denn	A	ADV	_	3	adv	_	_
6	eigentlich	eigentlich	A	ADV	_	3	adv	_	_
7	,	,	$	$,	_	0	root	_	_
8	du	du	P	PPER	2|Sg|_|Nom	0	root	624	624
9	hergelaufenes	herlauft	A	ADJA	Pos|Neut|_|Sg|St|	10	attr	_	_
10	Weibsbild	Weibsbild	N	NN	Neut|_|Sg	0	root	_	_
11	ohne	ohne	P	APPR	Acc	10	pp	_	_
12	Namen	Name	N	NN	Masc|Acc|_	11	pn	625	625
13	und	und	K	KON	_	12	kon	_	_
14	Rang	Rang	N	NN	Masc|Acc|Sg	13	cj	_	_
15	,	,	$	$,	_	0	root	_	_
16	daß	daß	K	KOUS	_	19	konj	_	_
17	du	du	P	PPER	2|Sg|_|Nom	19	subj	624	624
18	es	es	P	PPER	3|Sg|Neut|_	19	obja	_	_
19	wagst	wagen	V	VVFIN	2|Sg|Pres|Ind	14	objc	_	_
20	,	,	$	$,	_	0	root	_	_
21	dich	du	P	PPER	2|Sg|_|Acc	25	obja	_	_
22	Kaiserin	Kaiserin	N	NN	_|_|Sg	23	obja	428	428
23	nennen	nennen	V	VVINF	_	25	obji	_	_
24	zu	zu	P	PTKZU	_	25	part	_	_
25	lassen	lassen	V	VVINF	_	19	obji	_	_
26	und	und	K	KON	_	11	kon	_	_
27	auf	auf	P	APPR	Acc	26	cj	_	_
28	andere	andere	A	ADJA	_|_|Acc|Pl|_	29	attr	_	_
29	Leute	Leute	N	NN	_|Acc|Pl	27	pn	_	_
30	herabzusehn	herabzusehn	F	FM	_|Acc|Pl	29	app	_	_
31	?	?	$	$.	_	0	root	_	_

1	Kuhmagd	Kuhmagd	N	NN	Fem|_|Sg	0	root	626	626
2	!	!	$	$.	_	0	root	_	_

1	Kuhmagd	Kuhmagd	N	NN	Fem|_|Sg	0	root	626	626
2	!	!	$	$.	_	0	root	_	_

1	Wart	sein	V	VAFIN	2|Pl|Past|Ind	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	4	subj	627	627
4	will	wollen	V	VMFIN	1|Sg|Pres|Ind	1	kon	_	_
5	dir	du	P	PRF	2|Sg|Dat	6	objd	_	_
6	zeigen	zeigen	V	VVINF	_	4	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	wer	wer	P	PWS	_|Nom|Sg	10	subj	_	_
9	ich	ich	P	PPER	1|Sg|_|Nom	10	pred	627	627
10	bin	sein	V	VAFIN	1|Sg|Pres|Ind	6	objc	_	_
11	!	!	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
