13	Hurrikan	Hurrikan	N	NN	Masc|Acc|Sg	11	pn	366	366
14	oder	oder	K	KON	_	13	kon	366	366
15	Orkan	Orkan	N	NN	Masc|Acc|Sg	14	cj	366	366
16	niedergeworfenen	niedergeworfen	A	ADJA	Pos|Fem|Nom|Pl|Wk|	17	attr	366	366
17	Waldstrecken	Waldstrecke	N	NN	Fem|Nom|Pl	18	pred	366	366
18	genannt	nennen	V	VVPP	_	4	aux	366	366
19	,	,	$	$,	_	0	root	366	366
20	die	die	P	PRELS	Fem|_|Pl	35	obja	366	366
21	oft	oft	A	ADV	_	35	adv	_	_
22	,	,	$	$,	_	0	root	_	_
23	besonders	besonders	A	ADV	_	24	adv	_	_
24	wenn	wenn	K	KOUS	_	30	konj	_	_
25	sie	sie	P	PPER	3|Pl|_|Nom	30	subj	366	366
26	erst	erst	A	ADV	_	28	adv	_	_
27	einige	einige	A	PIAT	Neut|_|Pl	28	det	_	_
28	Jahre	Jahr	N	NN	Neut|_|Pl	29	zeit	_	_
29	gelegen	liegen	V	VVPP	_	30	aux	_	_
30	haben	haben	V	VAFIN	3|Pl|Pres|_	35	neb	_	_
31	,	,	$	$,	_	0	root	_	_
32	wirklich	wirklich	A	ADJD	Pos|	33	adv	_	_
33	undurchdringliche	undurchdringlich	A	ADJA	Pos|Neut|Nom|Pl|St|	34	attr	_	_
34	Dickichte	Dickicht	N	NN	Neut|Nom|Pl	35	subj	_	_
35	bilden	bilden	V	VVFIN	3|Pl|Pres|_	17	rel	_	_
36	.	.	$	$.	_	0	root	_	_

1	*	*	F	FM	_	0	root	_	_
2	*	*	F	FM	_	1	app	_	_
3	*	*	F	FM	_	2	app	_	_
4	Federmäppchen	Federmäppchen	F	FM	_	3	app	_	_

1	Draper	Draper	N	NE	_|Nom|Sg	2	subj	66	66
2	lehnte	lehnen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	am	an	P	APPRART	Dat	2	pp	_	_
4	Kamin	Kamin	N	NN	Masc|Dat|Sg	3	pn	151	151
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	9	det	367	367
8	starke	stark	A	ADJA	Pos|Masc|Nom|Sg|Wk|	9	attr	367	367
9	Mann	Mann	N	NN	Masc|Nom|Sg	10	subj	367	367
10	zitterte	zittern	V	VVFIN	3|Sg|Past|_	6	cj	_	_
11	vor	vor	P	APPR	Dat	10	pp	_	_
12	innerer	inner	A	ADJA	Pos|Fem|Dat|Sg|St|	13	attr	_	_
13	Aufregung	Aufregung	N	NN	Fem|Dat|Sg	11	pn	_	_
14	so	so	A	ADV	_	15	adv	_	_
15	gewaltig	gewaltig	A	ADJD	Pos|	10	adv	_	_
16	,	,	$	$,	_	0	root	_	_
17	daß	daß	K	KOUS	_	23	konj	_	_
18	die	die	A	ART	Def|Fem|Nom|Pl	20	det	_	_
19	lockeren	locker	A	ADJA	Pos|Fem|Nom|Pl|Wk|	20	attr	_	_
20	Dielen	Diele	N	NN	Fem|Nom|Pl	23	subj	_	_
21	unter	unter	P	APPR	Dat	23	pp	_	_
22	ihm	er	P	PPER	3|Sg|_|Dat	21	pn	367	367
23	erbebten	erbeben	V	VVFIN	3|Pl|Past|_	10	objc	_	_
24	;	;	$	$.	_	0	root	_	_
25	nur	nur	A	ADV	_	26	adv	42	42
26	Hennigs	Hennigs	N	NN	_|Nom|Sg	27	subj	42	42
27	blieb	bleiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
28	ruhig	ruhig	A	ADJD	Pos|	27	pred	_	_
29	und	und	K	KON	_	28	kon	_	_
30	gleichmütig	gleichmütig	A	ADJD	Pos|	29	cj	_	_
31	und	und	K	KON	_	27	kon	_	_
32	lächelte	lächeln	V	VVFIN	_|Sg|Past|_	31	cj	_	_
33	sogar	sogar	A	ADV	_	32	adv	_	_
34	still	still	A	ADJD	Pos|	32	adv	_	_
35	und	und	K	KON	_	34	kon	_	_
36	heimlich	heimlich	A	ADJD	Pos|	35	cj	_	_
37	vor	vor	P	APPR	_	32	pp	_	_
38	sich	sie	P	PRF	3|_|_	37	pn	_	_
39	nieder	nieder	P	PTKVZ	_	32	avz	_	_
40	,	,	$	$,	_	0	root	_	_
41	als	als	K	KOUS	_	0	root	_	_
42	der	die	A	ART	Def|_|_|_	0	root	_	_
43	Friedensrichter	Friedensrichter	N	NN	Masc|_|_	48	obja	294	294
44	,	,	$	$,	_	0	root	_	_
45	wohlbehaglich	wohlbehaglich	A	ADJD	Pos|	48	adv	_	_
46	im	in	P	APPRART	Dat	48	pp	_	_
47	Stuhl	Stuhl	N	NN	Masc|Dat|Sg	46	pn	_	_
48	zurückgelehnt	zurücklehnen	V	VVPP	_	67	aux	_	_
49	,	,	$	$,	_	0	root	_	_
50	die	die	A	ART	Def|Fem|_|Pl	51	det	268	268
51	Hände	Hand	N	NN	Fem|_|Pl	57	obja	268	268
52	vor	vor	P	APPR	_	57	pp	_	_
53	sich	sie	P	PRF	3|_|_	52	pn	_	_
54	auf	auf	P	APPR	Dat	57	pp	_	_
55	dem	die	A	ART	Def|Masc|Dat|Sg	56	det	354	354
56	Tisch	Tisch	N	NN	Masc|Dat|Sg	54	pn	354	354
57	gefaltet	falten	V	VVPP	_	67	aux	_	_
58	,	,	$	$,	_	0	root	_	_
59	die	die	A	ART	Def|Fem|_|Sg	60	det	_	_
60	Brille	Brille	N	NN	Fem|_|Sg	67	obja	_	_
61	in	in	P	APPR	Acc	60	pp	_	_
62	die	die	A	ART	Def|Fem|Acc|Sg	63	det	328	328
63	Höhe	Höhe	N	NN	Fem|Acc|Sg	61	pn	328	328
64	auf	auf	P	APPR	Acc	67	objp	_	_
65	die	die	A	ART	Def|Fem|Acc|Sg	66	det	368	368
66	Stirn	Stirn	N	NN	Fem|Acc|Sg	64	pn	368	368
67	geschoben	schieben	V	VVPP	_	90	neb	_	_
68	und	und	K	KON	_	67	kon	_	_
69	die	die	A	ART	Def|Neut|_|Pl	72	det	_	_
70	kleinen	klein	A	ADJA	Pos|Neut|_|Pl|Wk|	72	attr	_	_
71	runden	rund	A	ADJA	Pos|Neut|_|Pl|Wk|	72	attr	_	_
72	Augen	Auge	N	NN	Neut|_|Pl	83	obja	_	_
73	andächtig	andächtig	A	ADJD	Pos|	83	adv	_	_
74	der	die	A	ART	Def|Fem|Dat|Sg	75	det	_	_
75	Decke	Decke	N	NN	Fem|Dat|Sg	83	objd	_	_
76	und	und	K	KON	_	75	kon	_	_
77	einer	eine	A	ART	Indef|Fem|Dat|Sg	78	det	_	_
78	Anzahl	Anzahl	N	NN	Fem|Dat|Sg	76	cj	_	_
79	dort	dort	A	ADV	_	80	adv	_	_
80	aufgehängter	aufgehängt	A	ADJA	Pos|Fem|Gen|Pl|St|	82	attr	_	_
81	geräucherter	geräucherter	A	ADJA	_|Fem|Gen|Pl|_	82	attr	_	_
82	Hirschkeulen	Hirschkeule	N	NN	Fem|Gen|Pl	78	gmod	_	_
83	zugekehrt	zukehren	V	VVPP	_	68	cj	_	_
84	,	,	$	$,	_	0	root	_	_
85	mit	mit	P	APPR	Dat	83	pp	_	_
86	monotoner	monoton	A	ADJA	Pos|Fem|Dat|Sg|St|	89	attr	_	_
87	,	,	$	$,	_	0	root	_	_
88	singender	singend	A	ADJA	Pos|Fem|Dat|Sg|St|<PPRES	86	kon	_	_
89	Stimme	Stimme	N	NN	Fem|Dat|Sg	85	pn	_	_
90	begann	beginnen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
91	:	\:	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Halt	Halt	N	NN	Masc|_|Sg	0	root	395	395
3	!	!	$	$.	_	0	root	_	_

1	Nur	nur	A	ADV	_	4	adv	_	_
2	nicht	nicht	P	PTKNEG	_	4	adv	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	schnell	schnell	A	ADJD	Pos|	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	bat	bitten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	Hennigs	Hennigs	N	NE	_|Nom|Sg	7	subj	42	42
9	,	,	$	$,	_	0	root	_	_
10	»	»	$	$(	_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	42	42
12	komme	kommen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
13	ja	ja	A	ADV	_	12	adv	_	_
14	sonst	sonst	A	ADV	_	12	adv	_	_
15	nicht	nicht	P	PTKNEG	_	12	adv	_	_
16	mit	mit	P	PTKVZ	_	12	avz	_	_
17	.	.	$	$.	_	0	root	_	_

