22	schmalen	schmal	A	ADJA	Pos|Masc|Dat|Sg|Wk|	23	attr	_	_
23	Sitz	Sitz	N	NN	Masc|Dat|Sg	24	objd	_	_
24	zurechtrückend	zurechtrücken	A	ADJD	_|<PPRES	20	pn	_	_
25	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	nun	nun	A	ADV	_	2	cj	_	_
4	,	,	$	$,	_	0	root	_	_
5	Kutscher	Kutscher	N	NN	Masc|_|_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	fahrt	fahren	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
8	zu	zu	P	PTKVZ	_	7	avz	_	_
9	;	;	$	$.	_	0	root	_	_
10	Wetter	Wetter	N	NN	_|_|_	14	vok	_	_
11	noch	noch	A	ADV	_	12	adv	_	_
12	einmal	einmal	A	ADV	_	10	adv	_	_
13	,	,	$	$,	_	0	root	_	_
14	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
15	das	die	P	PDS	Neut|Nom|Sg	14	subj	_	_
16	eine	eine	A	ART	Indef|Fem|Nom|Sg	18	det	784	784
17	unbequeme	unbequem	A	ADJA	Pos|Fem|Nom|Sg|_|	18	attr	784	784
18	Bank	Bank	N	NN	Fem|Nom|Sg	14	pred	784	784
19	.	.	$	$.	_	0	root	_	_

1	Man	man	P	PIS	_|Nom|Sg	2	subj	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	wirklich	wirklich	A	ADJD	Pos|	8	adv	_	_
4	alle	alle	A	PIDAT	Fem|_|Pl	5	det	785	785
5	Hände	Hand	N	NN	Fem|_|Pl	8	obja	785	785
6	voll	voll	A	ADJD	Pos|	8	adv	_	_
7	zu	zu	P	PTKZU	_	8	part	_	_
8	tun	tun	V	VVINF	_	2	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	sich	sie	P	PRF	3|_|_	12	obja	_	_
11	nur	nur	A	ADV	_	12	adv	_	_
12	festzuhalten	festhalten	V	VVIZU	_	8	kon	_	_
13	.	.	$	$.	_	0	root	_	_

1	Sucht	suchen	V	VVIMP	Pl	0	root	_	_
2	Ihr	ihr	P	PPER	3|Sg|Fem|Dat	1	objd	784	784
3	denn	denn	A	ADV	_	2	adv	_	_
4	Eure	eure	A	PPOSAT	Masc|_|Pl	5	det	785	785
5	Passagiere	Passagier	N	NN	Masc|_|Pl	1	obja	_	_
6	wieder	wieder	A	ADV	_	1	adv	_	_
7	zusammen	zusammen	P	PTKVZ	_	1	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	wenn	wenn	K	KOUS	_	0	root	_	_
10	Ihr	ihre	A	PPOSAT	_|_|Sg	0	root	785	785
11	einige	einige	P	PIS	_|Nom|Sg	14	subj	_	_
12	davon	davon	P	PROAV	_	11	pp	_	_
13	einmal	einmal	A	ADV	_	14	adv	_	_
14	verliert	verlieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
15	?	?	$	$.	_	0	root	_	_
16	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Manchmal	manchmal	A	ADV	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	erwiderte	erwidern	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	39	39
7	Mann	Mann	N	NN	Masc|Nom|Sg	5	subj	39	39
8	trocken	trocken	A	ADJD	Pos|	5	adv	_	_
9	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	He	He	N	NE	_	0	root	_	_
4	da	da	P	PTKVZ	_	0	root	_	_
5	-	-	$	$(	_	0	root	_	_
6	alle	alle	P	PIS	_|_|_	0	root	_	_
7	an	an	P	APPR	_	6	pp	_	_
8	Bord	Bord	N	NN	_|_|Sg	7	pn	222	222
9	?	?	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Alle	alle	P	PIS	_|_|_	0	root	_	_
3	-	-	$	$(	_	0	root	_	_
4	so	so	A	ADV	_	5	adv	_	_
5	gut	gut	A	ADJD	Pos|	6	adv	_	_
6	es	es	P	PPER	3|Sg|Neut|Nom	8	subj	_	_
7	eben	eben	A	ADV	_	6	adv	_	_
8	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
9	.	.	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Gut	Gut	N	NN	Neut|_|Sg	0	root	_	_
3	denn	denn	A	ADV	_	2	adv	_	_
4	-	-	$	$(	_	0	root	_	_
5	laß	laß	F	FM	_	0	root	_	_
6	gehn	gehn	F	FM	_	5	app	_	_
7	da	da	A	ADV	_	8	adv	_	_
8	vorn	vorn	A	ADV	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	Tom	Tom	N	NE	_	0	root	167	167
11	-	-	$	$(	_	0	root	_	_
12	halt	halt	A	ADV	_	13	adv	_	_
13	fest	fest	A	ADJD	Pos|	15	adv	_	_
14	da	da	A	ADV	_	13	adv	_	_
15	hinten	hinten	A	ADV	_	17	adv	_	_
16	-	-	$	$(	_	0	root	_	_
17	komm	kommen	V	VVIMP	Sg	0	root	_	_
18	Jerry	Jerry	N	NE	_|Dat|_	17	objd	_	_
19	,	,	$	$,	_	0	root	_	_
20	komm	kommen	V	VVIMP	Sg	0	root	_	_
21	Bock	Bock	N	NN	_|Nom|Sg	20	pred	_	_
22	-	-	$	$(	_	0	root	_	_
23	hu	hu	F	FM	_|Nom|Sg	21	app	_	_
24	-	-	$	$(	_	0	root	_	_
25	pih	pih	F	FM	_|Dat|_	20	objd	_	_
26	!	!	$	$.	_	0	root	_	_
27	«	«	$	$(	_	0	root	_	_
28	Und	und	K	KON	_	0	root	_	_
29	mit	mit	P	APPR	Dat	37	pp	_	_
30	kräftigem	kräftig	A	ADJA	Pos|Masc|Dat|Sg|St|	31	attr	_	_
31	Peitschenschlag	Peitschenschlag	N	NN	Masc|Dat|Sg	29	pn	_	_
32	auf	auf	P	APPR	Acc	31	pp	_	_
33	die	die	A	ART	Def|Neut|Acc|Pl	36	det	786	786
34	sich	sie	P	PRF	3|_|_	35	obja	786	786
35	bäumenden	bäumend	A	ADJA	Pos|Neut|Acc|Pl|Wk|<PPRES	36	attr	786	786
36	Tiere	Tier	N	NN	Neut|Acc|Pl	32	pn	786	786
37	einhauend	einhauen	A	ADJD	_|<PPRES	28	cj	_	_
38	,	,	$	$,	_	0	root	_	_
39	trieb	treiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
40	er	er	P	PPER	3|Sg|Masc|Nom	39	subj	5	5
41	diese	diese	P	PDS	_|_|_	39	obja	_	_
42	zu	zu	P	APPR	Dat	39	pp	_	_
43	raschem	rasch	A	ADJA	Pos|_|Dat|Sg|St|	44	attr	_	_
44	Ansprung	Ansprung	N	NN	_|Dat|Sg	42	pn	_	_
45	,	,	$	$,	_	0	root	_	_
46	daß	daß	K	KOUS	_	56	konj	_	_
47	sie	sie	P	PPER	3|Pl|_|Nom	56	subj	786	786
48	den	die	A	ART	Def|_|_|_	50	det	791	791
49	unbeholfenen	unbeholfen	A	ADJA	Pos|_|_|_|_|	50	attr	791	791
50	Karren	Karre	N	NN	_|_|_	56	obja	791	791
51	mit	mit	P	APPR	Dat	56	objp	_	_
52	einem	eine	A	ART	Indef|Masc|Dat|Sg	53	det	_	_
53	Ruck	Ruck	N	NN	Masc|Dat|Sg	51	pn	_	_
54	nach	nach	P	APPR	Dat	53	pp	_	_
55	vorn	vorn	A	ADV	_	54	adv	_	_
56	rissen	reißen	V	VVFIN	3|Pl|Past|_	44	objc	_	_
57	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Um	um	P	APPR	Gen	0	root	_	_
3	Gottes	Gott	N	NN	Masc|Gen|Sg	2	pn	243	243
4	willen	willen	A	APZR	_	2	part	_	_
5	,	,	$	$,	_	0	root	_	_
6	mein	meine	A	PPOSAT	Masc|Nom|Sg	7	det	_	_
7	Hut	Hut	N	NN	Masc|Nom|Sg	0	root	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	Mr.	Mr.	N	NN	_|Nom|Sg	10	subj	739	739

1	Warrel	Warrel	N	NE	_	0	root	722	722
2	,	,	$	$,	_	0	root	_	_
3	der	die	P	PRELS	_|_|Sg	0	root	722	722
4	sich	sie	P	PRF	3|_|_	0	root	_	_
5	beinahe	beinahe	A	ADV	_	13	adv	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	428	428
7	Arm	Arm	N	NN	Masc|Acc|Sg	13	obja	428	428
8	an	an	P	APPR	Dat	13	pp	_	_
9	der	die	A	ART	Def|Fem|Dat|Sg	11	det	_	_
10	eisernen	eisern	A	ADJA	Pos|Fem|Dat|Sg|Wk|	11	attr	_	_
11	Lehne	Lehne	N	NN	Fem|Dat|Sg	8	pn	_	_
12	ausgerenkt	ausgerenkt	N	NE	Fem|Dat|Sg	11	app	_	_
13	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
14	,	,	$	$,	_	0	root	_	_
15	während	während	K	KOUS	_	21	konj	_	_
16	ihm	er	P	PPER	3|Sg|_|Dat	21	objd	428	428
17	der	die	A	ART	Def|Masc|Nom|Sg	18	det	249	249
18	Hut	Hut	N	NN	Masc|Nom|Sg	21	subj	249	249
19	vom	von	P	APPRART	Dat	21	pp	_	_
20	Kopfe	Kopf	N	NN	Masc|Dat|Sg	19	pn	1500	1500
21	flog	fliegen	V	VVFIN	3|Sg|Past|Ind	13	neb	_	_
22	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Macht	Macht	N	NN	Fem|_|Sg	0	root	_	_
3	nichts	nichts	P	PIS	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	Bill	Bill	N	NE	_	3	app	_	_
6	!	!	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	aber	aber	A	ADV	_	8	adv	_	_
10	Tom	Tom	N	NE	Masc|Nom|Sg	8	subj	167	167
11	,	,	$	$,	_	0	root	167	167
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	167	167
13	Hausknecht	Hausknecht	N	NN	Masc|Nom|Sg	10	app	167	167
14	,	,	$	$,	_	0	root	_	_
15	an	an	P	APPR	Acc	21	objp	_	_
16	derartige	derartige	A	ADJA	_|_|Acc|_|_	18	attr	_	_
17	kleine	klein	A	ADJA	Pos|_|Acc|_|_|	18	attr	_	_
18	Folgen	Folge	N	NN	_|Acc|_	15	pn	_	_
19	wahrscheinlich	wahrscheinlich	A	ADJD	Pos|	21	adv	_	_
20	schon	schon	A	ADV	_	21	adv	_	_
21	gewöhnt	gewöhnen	V	VVPP	_	8	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	indem	indem	K	KOUS	_	30	konj	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	167	167
25	den	die	A	ART	Def|Masc|Acc|Sg	26	det	249	249
26	Hut	Hut	N	NN	Masc|Acc|Sg	30	obja	249	249
27	in	in	P	APPR	Dat	30	pp	_	_
28	der	die	A	ART	Def|Fem|Dat|Sg	29	det	358	358
29	Luft	Luft	N	NN	Fem|Dat|Sg	27	pn	358	358
30	fing	fangen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
31	und	und	K	KON	_	30	kon	_	_
32	seinem	seine	A	PPOSAT	Masc|Dat|Sg	33	det	167	167
33	Besitzer	Besitzer	N	NN	Masc|Dat|Sg	38	objd	_	_
34	mit	mit	P	APPR	Dat	38	pp	_	_
35	außerordentlicher	außerordentlich	A	ADJA	Pos|Fem|Dat|Sg|St|	36	attr	_	_
36	Geschicklichkeit	Geschicklichkeit	N	NN	Fem|Dat|Sg	34	pn	_	_
37	wieder	wieder	A	ADV	_	38	adv	_	_
38	zuschleuderte	zuschleudern	V	VVFIN	_|Sg|Past|_	31	cj	_	_
39	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Alles	alle	P	PIS	_|_|Sg	0	root	_	_
3	in	in	P	APPR	_	2	pp	_	_
4	Ordnung	Ordnung	N	NN	Fem|_|Sg	3	pn	787	787
5	-	-	$	$(	_	0	root	_	_
6	go	go	F	FM	_	0	root	_	_
7	on	on	F	FM	_	6	app	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|_|_	2	det	788	788
2	Kutscher	Kutscher	N	NN	Masc|Nom|Sg	0	root	788	788
3	,	,	$	$,	_	0	root	788	788
4	der	die	P	PRELS	Masc|Nom|Sg	14	subj	788	788
5	von	von	P	APPR	Dat	13	pp	_	_
6	dem	die	A	ART	Def|Masc|Dat|Sg	7	det	_	_
7	Zuruf	Zuruf	N	NN	Masc|Dat|Sg	5	pn	_	_
8	auch	auch	A	ADV	_	13	adv	_	_
9	nicht	nicht	P	PTKNEG	_	13	adv	_	_
10	die	die	A	ART	Def|Fem|_|Sg	12	det	_	_
11	mindeste	mindeste	A	ADJA	_|Fem|_|Sg|_	12	attr	_	_
12	Notiz	Notiz	N	NN	Fem|_|Sg	13	obja	_	_
13	genommen	nehmen	V	VVPP	_	14	aux	_	_
14	hatte	haben	V	VAFIN	3|Sg|Past|Ind	2	rel	_	_
15	,	,	$	$,	_	0	root	_	_
16	bedurfte	bedürfen	V	VVFIN	_|Sg|Past|Ind	14	kon	_	_
17	dieser	diese	A	PDAT	Fem|Gen|Sg	18	det	_	_
18	Beruhigung	Beruhigung	N	NN	Fem|Gen|Sg	16	objg	_	_
19	gar	gar	A	ADV	_	20	adv	_	_
20	nicht	nicht	P	PTKNEG	_	16	adv	_	_
21	,	,	$	$,	_	0	root	_	_
22	denn	denn	K	KON	_	16	kon	_	_
23	ohne	ohne	P	APPR	Acc	33	pp	_	_
24	sich	sie	P	PRF	3|_|Acc	23	pn	_	_
25	nach	nach	P	APPR	Dat	33	objp	_	_
26	dem	die	A	ART	Def|Masc|Dat|Sg	27	det	_	_
27	Passagier	Passagier	N	NN	Masc|Dat|Sg	25	pn	_	_
28	oder	oder	K	KON	_	27	kon	_	_
29	dessen	die	A	PDAT	_|Dat|Sg	30	det	_	_
30	Hut	Hut	N	NN	_|Dat|Sg	28	cj	_	_
31	auch	auch	A	ADV	_	33	adv	_	_
32	nur	nur	A	ADV	_	33	adv	_	_
33	umzusehen	umsehen	V	VVIZU	_	35	obji	_	_
34	,	,	$	$,	_	0	root	_	_
35	gab	geben	V	VVFIN	3|Sg|Past|Ind	22	cj	_	_
36	er	er	P	PPER	3|Sg|Masc|Nom	35	subj	788	788
37	seinen	seine	A	PPOSAT	Neut|Dat|Pl	38	det	788	788
38	Tieren	Tier	N	NN	Neut|Dat|Pl	35	objd	_	_
39	nur	nur	A	ADV	_	35	adv	_	_
40	wiederholt	wiederholt	A	ADJD	Pos|	35	adv	_	_
41	die	die	A	ART	Def|Fem|_|Sg	42	det	516	516
42	Peitsche	Peitsche	N	NN	Fem|_|Sg	35	obja	516	516
43	,	,	$	$,	_	0	root	_	_
