7	Gentleman	Gentleman	N	NN	Masc|Acc|Sg	2	obja	_	_
8	«	«	$	$(	_	0	root	_	_
9	noch	noch	K	KON	_	7	kon	_	_
10	die	die	A	ART	Def|Fem|Acc|Sg	12	det	_	_
11	andere	andere	A	ADJA	_|Fem|Acc|Sg|_	12	attr	_	_
12	Anspielung	Anspielung	N	NN	Fem|Acc|Sg	9	cj	_	_
13	auf	auf	P	APPR	_	12	pp	_	_
14	sich	sie	P	PRF	3|_|_	13	pn	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	beziehen	beziehen	V	VVINF	_	2	obji	_	_
17	und	und	K	KON	_	2	kon	_	_
18	kaute	kauen	V	VVFIN	_|Sg|Past|_	17	cj	_	_
19	ruhig	ruhig	A	ADJD	Pos|	18	adv	_	_
20	an	an	P	APPR	Dat	18	pp	_	_
21	einem	eine	A	ART	Indef|Masc|Dat|Sg	23	det	822	822
22	riesigen	riesig	A	ADJA	Pos|Masc|Dat|Sg|Wk|	23	attr	822	822
23	Priem	Priem	N	NN	Masc|Dat|Sg	20	pn	822	822
24	weiter	weiter	A	ADV	_	18	adv	822	822
25	,	,	$	$,	_	0	root	822	822
26	den	die	P	PRELS	Masc|Acc|Sg	39	obja	822	822
27	er	er	P	PPER	3|Sg|Masc|Nom	39	subj	737	737
28	fortwährend	fortwährend	A	ADJD	_|_	39	adv	_	_
29	aus	aus	P	APPR	Dat	39	pp	_	_
30	der	die	A	ART	Def|_|_|_	31	det	_	_
31	linken	link	A	ADJA	_|_|_	29	pn	_	_
32	in	in	P	APPR	Acc	39	pp	_	_
33	die	die	A	ART	Def|Fem|Acc|Sg	35	det	_	_
34	rechte	recht	A	ADJA	Pos|Fem|Acc|Sg|_|	35	attr	_	_
35	Backe	Backe	N	NN	Fem|Acc|Sg	32	pn	_	_
36	und	und	K	KON	_	32	kon	_	_
37	wieder	wieder	A	ADV	_	38	adv	_	_
38	zurück	zurück	A	ADV	_	36	cj	_	_
39	wechselte	wechseln	V	VVFIN	3|Sg|Past|_	23	rel	_	_
40	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	23	23
2	Gespräch	Gespräch	N	NN	Neut|Nom|Sg	3	subj	23	23
3	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	hier	hier	A	ADV	_	11	adv	_	_
5	durch	durch	P	APPR	Acc	11	pp	_	_
6	einen	eine	A	ART	Indef|Masc|Acc|Sg	8	det	_	_
7	gotteslästerlichen	gotteslästerlich	A	ADJA	Pos|Masc|Acc|Sg|_|	8	attr	_	_
8	Fluch	Fluch	N	NN	Masc|Acc|Sg	5	pn	_	_
9	des	die	A	ART	Def|Masc|Gen|Sg	10	det	823	823
10	Kutschers	Kutscher	N	NN	Masc|Gen|Sg	8	gmod	823	823
11	unterbrochen	unterbrechen	V	VVPP	_	3	aux	823	823
12	,	,	$	$,	_	0	root	823	823
13	der	die	P	PRELS	Masc|Nom|Sg	30	subj	823	823
14	vor	vor	P	APPR	_	30	pp	_	_
15	sich	sie	P	PRF	3|_|_	14	pn	_	_
16	in	in	P	APPR	Dat	30	pp	_	_
17	dem	die	A	ART	Def|Masc|Dat|Sg	19	det	_	_
18	schmalen	schmal	A	ADJA	Pos|Masc|Dat|Sg|Wk|	19	attr	_	_
19	Weg	Weg	N	NN	Masc|Dat|Sg	16	pn	_	_
20	ein	eine	A	ART	Indef|_|_|Sg	28	det	824	824
21	paar	paar	A	PIDAT	Masc|_|Pl	28	attr	824	824
22	von	von	P	APPR	Dat	25	pp	824	824
23	einem	eine	A	ART	Indef|_|Dat|Sg	24	det	824	824
24	Gumbaum	Gumbaum	N	NN	_|Dat|Sg	22	pn	824	824
25	niedergebrochene	niedergebrochen	A	ADJA	Pos|Masc|_|Pl|St|	28	attr	824	824
26	sehr	sehr	A	ADV	_	27	adv	824	824
27	starke	stark	A	ADJA	Pos|Masc|_|Pl|St|	28	attr	824	824
28	Äste	Ast	N	NN	Masc|_|Pl	30	obja	824	824
29	liegen	liegen	V	VVINF	_	30	obji	824	824
30	sah	sehen	V	VVFIN	3|Sg|Past|Ind	10	rel	824	824
31	,	,	$	$,	_	0	root	824	824
32	die	die	P	PRELS	Masc|Nom|Pl	38	subj	824	824
33	sich	sie	P	PRF	3|_|_	37	obja	_	_
34	auf	auf	P	APPR	Acc	37	pp	_	_
35	keine	keine	A	PIAT	_|Acc|_	36	det	_	_
36	Weise	Weise	N	NN	_|Acc|_	34	pn	_	_
37	umgehen	umgehen	V	VVINF	_	38	obji	_	_
38	ließen	lassen	V	VVFIN	3|Pl|Past|_	28	rel	_	_
39	und	und	K	KON	_	38	kon	_	_
40	erst	erst	A	ADV	_	41	adv	_	_
41	fortgeräumt	forträumen	V	VVPP	_	42	aux	_	_
42	werden	werden	V	VAINF	_	43	aux	_	_
43	mußten	müssen	V	VMFIN	_|Pl|Past|Ind	39	cj	_	_
44	.	.	$	$.	_	0	root	_	_

1	Unfern	unfern	A	ADJD	Pos|	0	root	_	_
2	davon	davon	P	PROAV	_	1	pp	_	_
3	,	,	$	$,	_	0	root	_	_
4	unter	unter	P	APPR	Dat	9	pp	_	_
5	einem	eine	A	ART	Indef|Masc|Dat|Sg	7	det	_	_
6	anderen	anderen	A	ADJA	_|Masc|Dat|Sg|_	7	attr	_	_
7	Baum	Baum	N	NN	Masc|Dat|Sg	4	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	saß	sitzen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	ein	eine	A	ART	Indef|Masc|Nom|Sg	11	det	825	825
11	Fußreisender	Fußreisende	N	NN	Masc|Nom|Sg	9	subj	825	825
12	,	,	$	$,	_	0	root	825	825
13	ein	eine	A	ART	Indef|Masc|Nom|Sg	15	det	825	825
14	sogenannter	sogenannt	A	ADJA	Pos|Masc|Nom|Sg|St|	15	attr	825	825
15	Bündelmann	Bündelmann	N	NN	Masc|Nom|Sg	11	app	825	825
16	,	,	$	$,	_	0	root	825	825
17	der	die	P	PRELS	Masc|Nom|Sg	26	subj	825	825
18	sein	seine	A	PPOSAT	Neut|Acc|Sg	19	det	825	825
19	Bündel	Bündel	N	NN	Neut|Acc|Sg	25	obja	_	_
20	und	und	K	KON	_	19	kon	_	_
21	seinen	seine	A	PPOSAT	Masc|Acc|Sg	22	det	825	825
22	Stock	Stock	N	NN	Masc|Acc|Sg	20	cj	_	_
23	neben	neben	P	APPR	_	25	pp	_	_
24	sich	sie	P	PRF	3|_|_	23	pn	_	_
25	gelegt	legen	V	VVPP	_	26	aux	_	_
26	hatte	haben	V	VAFIN	3|Sg|Past|Ind	15	rel	_	_
27	,	,	$	$,	_	0	root	_	_
28	sein	seine	A	PPOSAT	Neut|Nom|Sg	29	det	825	825
29	Frühstück	Frühstück	N	NN	Neut|Nom|Sg	43	subj	_	_
30	vor	vor	P	APPR	_	43	pp	_	_
31	sich	sie	P	PRF	3|_|_	30	pn	_	_
32	auf	auf	P	APPR	Dat	43	pp	_	_
33	den	die	A	ART	Def|Neut|Dat|Pl	34	det	246	246
34	Knien	Knie	N	NN	Neut|Dat|Pl	32	pn	246	246
35	,	,	$	$,	_	0	root	_	_
36	ganz	ganz	A	ADV	_	37	adv	_	_
37	ruhig	ruhig	A	ADJD	Pos|	32	kon	_	_
38	und	und	K	KON	_	37	kon	_	_
39	unbekümmert	unbekümmert	A	ADJD	Pos|	38	cj	_	_
40	in	in	P	APPR	Dat	43	pp	_	_
41	freier	frei	A	ADJA	Pos|Fem|Dat|Sg|St|	42	attr	_	_
42	Luft	Luft	N	NN	Fem|Dat|Sg	40	pn	_	_
43	tafelte	tafeln	V	VVFIN	3|Sg|Past|_	26	kon	_	_
44	und	und	K	KON	_	43	kon	_	_
45	den	die	A	ART	Def|_|_|_	50	det	_	_
46	dicht	dicht	A	ADJD	Pos|	49	adv	_	_
47	neben	neben	P	APPR	Dat	46	pp	_	_
48	ihm	er	P	PPER	3|Sg|_|Dat	47	pn	825	825
49	haltenden	haltend	A	ADJA	Pos|_|_|_|_|<PPRES	50	attr	_	_
50	Postkarren	Postkarre	N	NN	_|_|_	54	obja	_	_
51	kaum	kaum	A	ADV	_	50	adv	_	_
52	eines	eine	A	ART	Indef|Masc|Gen|Sg	53	det	_	_
53	Blickes	Blick	N	NN	Masc|Gen|Sg	50	gmod	_	_
54	würdigte	würdigen	V	VVFIN	_|Sg|Past|_	44	cj	_	_
55	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hallo	hallo	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Mate	Mate	N	NN	_|_|Sg	0	root	235	235
5	!	!	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	ihm	er	P	PPER	3|Sg|_|Dat	7	objd	5	5
9	da	da	A	ADV	_	7	adv	_	_
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	704	704
11	Kutscher	Kutscher	N	NN	Masc|Nom|Sg	7	subj	704	704
12	zu	zu	P	PTKVZ	_	7	avz	_	_
13	,	,	$	$,	_	0	root	_	_
14	wie	wie	P	PWAV	_	0	root	_	_
15	er	er	P	PPER	3|Sg|Masc|Nom	0	root	704	704
16	nun	nun	A	ADV	_	15	adv	_	_
17	seiner	seine	A	PPOSAT	_|_|_	0	root	5	5
18	ansichtig	ansichtig	A	ADJD	Pos|	19	pred	_	_
19	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	»	»	$	$(	_	0	root	_	_
22	macht	machen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
23	'	'	$	$(	_	0	root	_	_
24	s	s	P	PPER	_|_|_|Nom	22	subj	5	5
25	Euch	ihr	P	PPER	2|Pl|_|Dat	22	objd	826	826
26	was	was	P	PIS	_	22	obja	_	_
27	aus	aus	P	PTKVZ	_	22	avz	_	_
28	,	,	$	$,	_	0	root	_	_
29	wenn	wenn	K	KOUS	_	34	konj	_	_
30	Ihr	ihr	P	PPER	2|Pl|_|Nom	34	subj	826	826
31	einmal	einmal	A	ADV	_	34	adv	_	_
32	einen	eine	A	ART	Indef|Masc|Acc|Sg	33	det	_	_
33	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	34	obja	_	_
34	aufständet	aufstehen	V	VVFIN	2|Pl|Past|Subj	22	neb	_	_
35	und	und	K	KON	_	34	kon	_	_
36	das	die	A	ART	Def|Neut|_|Sg	38	det	_	_
37	verdammte	verdammt	A	ADJA	Pos|Neut|_|Sg|Wk|	38	attr	_	_
38	Holz	Holz	N	NN	Neut|_|Sg	43	obja	_	_
39	da	da	A	ADV	_	43	adv	_	_
40	aus	aus	P	APPR	Dat	43	objp	_	_
41	dem	die	A	ART	Def|Masc|Dat|Sg	42	det	176	176
42	Wege	Weg	N	NN	Masc|Dat|Sg	40	pn	176	176
43	räumtet	räumen	V	VVFIN	2|Pl|Past|_	35	cj	_	_
44	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	704	704
2	kann	können	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
3	die	die	A	ART	Def|Masc|_|Pl	4	det	827	827
4	Zügel	Zügel	N	NN	Masc|_|Pl	7	obja	827	827
5	hier	hier	A	ADV	_	7	adv	_	_
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	loslassen	loslassen	V	VVINF	_	2	aux	_	_
8	!	!	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hm	Hm	N	NE	_	5	vok	347	347
3	«	«	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
