44	,	,	$	$,	_	0	root	_	_
45	so	so	A	ADV	_	46	adv	_	_
46	verlor	verlieren	V	VVFIN	3|Sg|Past|Ind	7	cj	_	_
47	sich	sie	P	PRF	3|_|_	46	obja	_	_
48	das	die	P	PDS	Neut|Nom|Sg	46	subj	_	_
49	doch	doch	A	ADV	_	46	adv	_	_
50	bald	bald	A	ADV	_	46	adv	_	_
51	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	1319	1319
2	näherten	nähern	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	dem	die	A	ART	Def|_|Dat|Sg	5	det	9	9
5	Norden	Norden	N	NN	_|Dat|Sg	2	objd	9	9
6	;	;	$	$.	_	0	root	_	_
7	hinter	hinter	P	APPR	Dat	9	objp	_	_
8	ihnen	sie	P	PPER	3|Pl|_|Dat	7	pn	1319	1319
9	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
10	schon	schon	A	ADV	_	9	adv	_	_
11	Arkansas	Arkansas	N	NE	Neut|Nom|Sg	9	subj	_	_
12	und	und	K	KON	_	11	kon	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	1324	1324
14	Mississippistaat	Mississippistaat	N	NN	Masc|Nom|Sg	12	cj	1324	1324
15	,	,	$	$,	_	0	root	_	_
16	zur	zu	P	APPRART	Dat	18	pp	_	_
17	Linken	Linke	N	NN	_|Dat|_	16	pn	_	_
18	dehnte	dehnen	V	VVFIN	3|Sg|Past|_	9	kon	_	_
19	sich	sie	P	PRF	3|_|_	18	obja	_	_
20	Missouri	Missouri	N	NE	_|Nom|Sg	18	subj	1326	1326
21	aus	aus	P	PTKVZ	_	18	avz	_	_
22	,	,	$	$,	_	0	root	_	_
23	ihnen	sie	P	PPER	3|Pl|_|Dat	26	objd	1319	1319
24	zur	zu	P	APPRART	Dat	23	pp	_	_
25	Rechten	Recht	N	NN	_|Dat|_	24	pn	1327	1327
26	zogen	ziehen	V	VVFIN	3|Pl|Past|Ind	18	kon	_	_
27	sich	sie	P	PRF	3|_|_	26	obja	_	_
28	die	die	A	ART	Def|Masc|Nom|Pl	30	det	_	_
29	bewaldeten	bewaldet	A	ADJA	Pos|Masc|Nom|Pl|Wk|	30	attr	_	_
30	Berge	Berg	N	NN	Masc|Nom|Pl	26	subj	_	_
31	Kentuckys	Kentucky	N	NE	Neut|Gen|Sg	30	gmod	1325	1325
32	hin	hin	P	PTKVZ	_	26	avz	_	_
33	.	.	$	$.	_	0	root	_	_

1	Weiter	Weiter	A	ADV	_	4	adv	_	_
2	und	und	K	KON	_	1	kon	_	_
3	weiter	weiter	A	ADV	_	2	cj	_	_
4	brauste	brausen	V	VVFIN	3|Sg|Past|_	0	root	_	_
5	das	die	A	ART	Def|Neut|Nom|Sg	7	det	_	_
6	wackere	wacker	A	ADJA	Pos|Neut|Nom|Sg|Wk|	7	attr	_	_
7	Boot	Boot	N	NN	Neut|Nom|Sg	4	subj	_	_
8	stromauf	stromauf	A	ADV	_	4	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	8	kon	_	_
11	wie	wie	P	PWAV	_	10	cj	_	_
12	die	die	A	ART	Def|Fem|_|Sg	13	det	304	304
13	Sonne	Sonne	N	NN	Fem|_|Sg	4	obja	304	304
14	wieder	wieder	A	ADV	_	4	adv	_	_
15	unterging	untergehen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
16	,	,	$	$,	_	0	root	_	_
17	da	da	A	ADV	_	18	adv	_	_
18	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
19	Jack	Jack	N	NE	_|Nom|Sg	18	subj	74	74
20	freundlich	freundlich	A	ADJD	Pos|	21	adv	_	_
21	Sallys	Sallys	A	ADJA	_|Fem|_|Sg|_	22	attr	_	_
22	Hand	Hand	N	NN	Fem|_|Sg	18	obja	_	_
23	und	und	K	KON	_	0	root	_	_
24	führte	führen	V	VVFIN	3|Sg|Past|_	0	root	_	_
25	sie	sie	P	PPER	3|Sg|Fem|Nom	24	subj	1326	1326
26	zum	zu	P	APPRART	Dat	25	pp	_	_
27	erstenmal	erstenmal	N	NN	_|Dat|_	26	pn	310	310
28	mit	mit	P	APPR	Dat	24	pp	_	_
29	sich	sie	P	PRF	3|_|Dat	28	pn	_	_
30	zum	zu	P	APPRART	Dat	24	objp	_	_
31	Hurricane-Deck	Hurricane-Deck	N	NN	Neut|Dat|Sg	30	pn	_	_
32	hinauf	hinauf	A	ADV	_	24	adv	_	_
33	,	,	$	$,	_	0	root	_	_
34	von	von	P	APPR	_	40	pp	_	_
35	wo	wo	P	PWAV	_	34	pn	_	_
36	sie	sie	P	PPER	3|Pl|_|Nom	41	subj	1327	1327
37	die	die	A	ART	Def|Neut|_|Pl	39	det	1408	1408
38	weiten	weit	A	ADJA	Pos|Neut|_|Pl|Wk|	39	attr	1408	1408
39	Ufer	Ufer	N	NN	Neut|_|Pl	40	obja	1408	1408
40	überschauen	überschauen	V	VVINF	_	41	aux	_	_
41	konnten	können	V	VMFIN	3|Pl|Past|Ind	24	objc	_	_
42	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1326	1326
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	aber	aber	A	ADV	_	6	adv	_	_
4	so	so	A	ADV	_	5	adv	_	_
