23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	293	293
24	Stelle	Stelle	N	NN	Fem|Dat|Sg	22	pn	293	293
25	dazu	dazu	P	PROAV	_	26	pp	_	_
26	erhoben	erheben	V	VVPP	_	27	aux	_	_
27	wurde	werden	V	VAFIN	3|Sg|Past|Ind	17	neb	_	_
28	-	-	$	$(	_	0	root	_	_
29	,	,	$	$,	_	0	root	_	_
30	nämlich	nämlich	A	ADV	_	31	adv	253	253
31	Herr	Herr	N	NN	Masc|_|Sg	0	root	253	253
32	Vito	Vito	N	NE	Masc|_|Sg	31	app	253	253
33	selber	selber	A	ADV	_	31	adv	_	_
34	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	so	so	A	ADV	_	2	adv	_	_
4	:	\:	$	$.	_	0	root	_	_
5	die	die	A	ART	Def|_|Nom|Pl	7	det	276	276
6	jungen	jung	A	ADJA	Pos|_|Nom|Pl|Wk|	7	attr	276	276
7	Leute	Leute	N	NN	_|Nom|Pl	22	subj	276	276
8	(	(	$	$(	_	0	root	276	276
9	einige	einige	P	PIS	_|_|_	15	obja	276	276
10	von	von	P	APPR	_	9	pp	276	276
11	der	die	A	ART	Def|_|_|_	12	det	276	276
12	Meßfreiheit	Meßfreiheit	N	NN	_|_|_	10	pn	276	276
13	großer	groß	A	ADJA	Pos|Fem|Gen|Pl|St|	14	attr	276	276
14	Städte	Stadt	N	NN	Fem|Gen|Pl	12	gmod	276	276
15	verzogen	verziehen	V	VVPP	_	20	aux	276	276
16	,	,	$	$,	_	0	root	276	276
17	andere	andere	P	PIS	_|_|_	20	obja	276	276
18	von	von	P	APPR	Dat	20	pp	276	276
19	ihr	ihr	P	PPER	3|Sg|Fem|Dat	18	pn	274	274
20	angelockt	anlocken	V	VVPP	_	7	par	_	_
21	)	)	$	$(	_	0	root	_	_
22	fanden	finden	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
23	es	es	P	PPER	3|Sg|Neut|_	22	obja	_	_
24	für	für	P	APPR	Acc	22	pp	_	_
25	ihren	ihre	A	PPOSAT	Masc|Acc|Sg	26	det	274	274
26	Kopf	Kopf	N	NN	Masc|Acc|Sg	24	pn	_	_
27	zu	zu	P	PTKA	_	28	adv	_	_
28	klein	klein	A	ADJD	Pos|	22	adv	_	_
29	und	und	K	KON	_	28	kon	_	_
30	für	für	P	APPR	Acc	29	cj	_	_
31	den	die	A	ART	Def|Masc|Acc|Sg	32	det	191	191
32	Hut	Hut	N	NN	Masc|Acc|Sg	30	pn	191	191
33	zu	zu	P	PTKA	_	34	adv	_	_
34	nachteilig	nachteilig	A	ADJD	Pos|	22	adv	_	_
35	,	,	$	$,	_	0	root	_	_
36	diesen	diese	P	PDS	_|_|_	38	obja	_	_
37	immer	immer	A	ADV	_	38	adv	_	_
38	abzuziehen	abziehen	V	VVIZU	_	22	obji	_	_
39	;	;	$	$.	_	0	root	_	_
40	sie	sie	P	PPER	3|Pl|_|Nom	41	subj	276	276
41	taten	tun	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
42	sich	sie	P	PRF	3|_|_	41	obja	_	_
43	daher	daher	P	PROAV	_	41	pp	_	_
44	nach	nach	P	APPR	Dat	41	pp	_	_
45	dem	die	A	ART	Def|Neut|Dat|Sg	46	det	_	_
46	Muster	Muster	N	NN	Neut|Dat|Sg	44	pn	_	_
47	eines	eine	A	ART	Indef|_|Gen|Sg	48	det	_	_
48	frühern	frühern	N	NN	_|Gen|Sg	46	gmod	_	_
49	,	,	$	$,	_	0	root	_	_
50	im	in	P	APPRART	Dat	0	root	_	_
51	Juli	Juli	N	NN	Masc|Dat|Sg	50	pn	_	_
52	des	die	A	ART	Def|Neut|Gen|Sg	53	det	_	_
53	Modejournals	Modejournal	N	NN	Neut|Gen|Sg	51	gmod	_	_
54	von	von	P	APPR	_	53	pp	_	_
55	1788	1788	C	CARD	_	58	attr	_	_
56	gezeichneten	gezeichnet	A	ADJA	Pos|Masc|_|Pl|_|	58	attr	_	_
57	hutaufhabenden	hutaufhabend	A	ADJA	Pos|Masc|_|Pl|_|<PPRES	58	attr	_	_
58	Klubs	Klub	N	NN	Masc|_|Pl	54	pn	_	_
59	zusammen	zusammen	P	PTKVZ	_	0	root	_	_
60	und	und	K	KON	_	0	root	_	_
