6	Maxl	Maxl	N	NE	Masc|Nom|Sg	5	app	118	118
7	standen	stehen	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
8	aber	aber	A	ADV	_	7	adv	_	_
9	fest	fest	A	ADJD	Pos|	7	adv	_	_
10	zu	zu	P	APPR	Dat	7	objp	_	_
11	ihrem	ihre	A	PPOSAT	Masc|Dat|Sg	12	det	92	92
12	Leutnant	Leutnant	N	NN	Masc|Dat|Sg	10	pn	_	_
13	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Nur	nur	A	ADV	_	12	adv	_	_
3	"	"	$	$(	_	0	root	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	2	par	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	85	85
7	Schuster	Schuster	N	NE	Masc|Nom|Sg	5	subj	85	85
8	Batz	Batz	N	NE	Masc|Nom|Sg	7	app	85	85
9	,	,	$	$,	_	0	root	_	_
10	"	"	$	$(	_	0	root	_	_
11	keine	keine	A	PIAT	Fem|_|Sg	12	det	_	_
12	Attacke	Attacke	N	NN	Fem|_|Sg	16	obja	_	_
13	können	können	V	VMFIN	1|Pl|Pres|_	0	root	_	_
14	wir	wir	P	PPER	1|Pl|_|Nom	13	subj	93	93
15	nicht	nicht	P	PTKNEG	_	16	adv	_	_
16	machen	machen	V	VVINF	_	13	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	denn	denn	K	KON	_	13	kon	_	_
19	wir	wir	P	PPER	1|Pl|_|Nom	20	subj	93	93
20	sind	sein	V	VAFIN	1|Pl|Pres|Ind	18	cj	_	_
21	zu	zu	P	PTKA	_	22	adv	_	_
22	wenig	wenig	A	ADJD	Pos|	20	pred	_	_
23	,	,	$	$,	_	0	root	_	_
24	und	und	K	KON	_	20	kon	_	_
25	mit	mit	P	APPR	Dat	28	pp	_	_
26	einer	eine	A	ART	Indef|Fem|_|Sg	27	det	_	_
27	Trompeten	Trompete	N	NN	Fem|Dat|Sg	25	pn	_	_
28	kann	können	V	VMFIN	3|Sg|Pres|Ind	24	cj	_	_
