8	Sperlingsgasse	Sperlingsgasse	N	NN	Fem|Gen|Sg	6	gmod	32	32
9	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Adieu	Adieu	N	NE	_|_|_	0	root	1611	1611
3	,	,	$	$,	_	0	root	1611	1611
4	Wachholder	Wachholder	N	NN	_|_|_	2	app	1611	1611
5	!	!	$	$.	_	0	root	_	_

1	Am	an	P	APPRART	Dat	0	root	_	_
2	21.	21.	A	ADJA	_|_|_|_|_|	3	attr	_	_
3	März	März	N	NN	_|Dat|_	1	pn	_	_
4	.	.	$	$.	_	0	root	_	_

1	Abend	Abend	N	NN	Masc|_|Sg	0	root	532	532
2	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	gibt	geben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|_|Sg	4	det	_	_
4	Märchen	Märchen	N	NN	Neut|_|Sg	2	obja	_	_
5	-	-	$	$(	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	7	subj	1697	1697
7	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	4	par	_	_
8	nicht	nicht	P	PTKNEG	_	7	adv	_	_
9	,	,	$	$,	_	0	root	_	_
10	wer	wer	P	PWS	_|Nom|Sg	13	subj	_	_
11	es	es	P	PPER	3|Sg|Neut|_	12	obja	_	_
12	erzählt	erzählen	V	VVPP	_	13	aux	_	_
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	7	objc	_	_
14	-	-	$	$(	_	0	root	_	_
15	von	von	P	APPR	Dat	2	pp	_	_
16	einem	eine	P	PIS	Masc|Dat|Sg	15	pn	_	_
17	,	,	$	$,	_	0	root	_	_
18	der	die	P	PRELS	Masc|Nom|Sg	23	subj	_	_
19	nach	nach	P	APPR	Dat	23	pp	_	_
20	großem	groß	A	ADJA	Pos|Neut|Dat|Sg|St|	21	attr	_	_
21	Unglück	Unglück	N	NN	Neut|Dat|Sg	19	pn	_	_
22	sich	sie	P	PRF	3|_|Dat	23	objd	_	_
23	wünschte	wünschen	V	VVFIN	3|Sg|Past|_	16	rel	_	_
24	,	,	$	$,	_	0	root	_	_
25	die	die	A	ART	Def|Fem|_|Sg	26	det	46	46
26	Erinnerung	Erinnerung	N	NN	Fem|_|Sg	28	obja	46	46
27	zu	zu	P	PTKZU	_	28	part	_	_
28	verlieren	verlieren	V	VVINF	_	23	obji	_	_
29	,	,	$	$,	_	0	root	_	_
30	und	und	K	KON	_	0	root	_	_
31	dem	die	A	ART	Def|_|Dat|Sg	30	cj	_	_
32	in	in	P	APPR	Dat	37	pp	1697	1697
33	einer	eine	A	ART	Indef|Fem|Dat|Sg	35	det	1697	1697
34	dunkeln	dunkeln	A	ADJA	_|Fem|Dat|Sg|_	35	attr	1697	1697
35	Nacht	Nacht	N	NN	Fem|Dat|Sg	32	pn	1697	1697
36	sein	seine	A	PPOSAT	Masc|Nom|Sg	37	det	1697	1697
37	Wunsch	Wunsch	N	NN	Masc|Nom|Sg	39	subj	_	_
38	gewährt	gewähren	V	VVPP	_	39	aux	_	_
39	ward	ward	V	VAFIN	_|Sg|_|_	0	root	_	_
40	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	1697	1697
2	empfand	empfinden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	von	von	P	APPR	_	2	pp	_	_
4	da	da	A	ADV	_	3	adv	_	_
5	an	an	P	APPR	Acc	2	pp	_	_
6	keinen	keine	A	PIAT	Masc|Acc|Sg	7	det	_	_
7	Schmerz	Schmerz	N	NN	Masc|Acc|Sg	5	pn	_	_
8	,	,	$	$,	_	0	root	_	_
9	keine	keine	A	PIAT	Fem|Acc|Sg	10	det	_	_
10	Freude	Freude	N	NN	Fem|Acc|Sg	7	app	_	_
11	mehr	mehr	A	ADV	_	10	adv	_	_
12	;	;	$	$.	_	0	root	_	_
13	er	er	P	PPER	3|Sg|Masc|Nom	14	subj	1697	1697
14	verlernte	verlernen	V	VVFIN	3|Sg|Past|_	0	root	_	_
15	zu	zu	P	PTKZU	_	16	part	_	_
16	weinen	weinen	V	VVINF	_	14	obji	_	_
17	und	und	K	KON	_	16	kon	_	_
18	zu	zu	P	PTKZU	_	19	part	_	_
19	lachen	lachen	V	VVINF	_	17	cj	_	_
20	;	;	$	$.	_	0	root	_	_
21	es	es	P	PPER	3|Sg|Neut|_	31	expl	_	_
22	ward	ward	V	VAFIN	_	0	root	_	_
23	ihm	er	P	PPER	3|Sg|_|Dat	22	objd	1697	1697
24	einerlei	einerlei	A	ADJD	Pos|	22	adv	_	_
25	,	,	$	$,	_	0	root	_	_
26	ob	ob	K	KOUS	_	31	konj	_	_
27	er	er	P	PPER	3|Sg|Masc|Nom	31	subj	1697	1697
28	Blumenknospen	Blumenknospe	N	NN	_|_|_	31	obja	1699	1699
29	oder	oder	K	KON	_	28	kon	1699	1699
30	Menschenherzen	Menschenherzen	N	NN	Neut|_|Sg	29	cj	1699	1699
31	zertrat	zertreten	V	VVFIN	3|Sg|Past|Ind	22	subjc	_	_
32	:	\:	$	$.	_	0	root	_	_
33	alles	alle	P	PIS	_|_|Sg	0	root	_	_
34	das	die	A	ART	Def|Neut|Nom|Sg	36	det	1698	1698
35	hübsche	hübsch	A	ADJA	Pos|Neut|Nom|Sg|Wk|	36	attr	1698	1698
36	Spielzeug	Spielzeug	N	NN	Neut|Nom|Sg	54	subj	1698	1698
37	,	,	$	$,	_	0	root	1698	1698
