8	euren	eure	A	PPOSAT	_|Dat|_	10	det	1513	1513
9	grünen	grün	A	ADJA	Pos|_|Dat|_|_|	10	attr	_	_
10	Sommerbäumen	Sommerbaum	N	NN	_|Dat|_	7	pn	_	_
11	und	und	K	KON	_	7	kon	_	_
12	an	an	P	APPR	Dat	11	cj	_	_
13	eurem	eure	A	PPOSAT	Masc|Dat|Sg	14	det	1513	1513
14	Winterofen	Winterofen	N	NN	Masc|Dat|Sg	12	pn	_	_
15	sitzen	sitzen	V	VVINF	_	3	aux	_	_
16	und	und	K	KON	_	0	root	_	_
17	der	die	A	ART	Def|Fem|_|Sg	18	det	5	5
18	Welt	Welt	N	NN	Fem|_|Sg	16	cj	5	5
19	ihren	ihre	A	PPOSAT	Masc|_|Sg	20	det	1513	1513
20	Lauf	Lauf	N	NN	Masc|_|Sg	21	obja	_	_
21	lassen	lassen	V	VVFIN	_|Pl|Pres|_	0	root	_	_
22	.	.	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Amen	Amen	N	NN	Neut|_|_	0	root	1586	1586
3	!	!	$	$.	_	0	root	_	_

1	und	und	K	KON	_	0	root	_	_
2	nachher	nachher	A	ADV	_	6	adv	_	_
3	in	in	P	APPR	Acc	6	objp	_	_
4	ein	eine	A	ART	Indef|Neut|Acc|Sg	5	det	1705	1705
5	Grab	Grab	N	NN	Neut|Acc|Sg	3	pn	1705	1705
6	gelegt	legen	V	VVPP	_	7	aux	_	_
7	werden	werden	V	VAINF	_	1	cj	_	_
8	und	und	K	KON	_	0	root	_	_
9	ein	eine	A	ART	Indef|_|_|Sg	8	cj	_	_
10	Menschenalter	Menschenalter	N	NN	_|Dat|Sg	13	objd	_	_
11	durch	durch	P	APPR	Acc	13	objp	_	_
12	spuken	spuken	N	NN	_|Acc|_	11	pn	_	_
13	gehen	gehen	V	VVINF	_	0	root	_	_
14	und	und	K	KON	_	13	kon	_	_
15	einer	eine	A	ART	Indef|Fem|Dat|Sg	17	det	1575	1575
16	respektablen	respektabel	A	ADJA	Pos|Fem|Dat|Sg|Wk|	17	attr	1575	1575
17	Nachbarschaft	Nachbarschaft	N	NN	Fem|Dat|Sg	20	objd	1575	1575
18	zum	zu	P	APPRART	Dat	20	pp	_	_
19	Überdruß	Überdruß	N	NN	Masc|Dat|Sg	18	pn	_	_
20	werden	werden	V	VAINF	_	14	cj	_	_
21	«	«	$	$(	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
24	Stopfkuchen	Stopfkuchen	N	NN	Masc|Nom|Sg	23	subj	156	156
25	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	begegneten	begegnen	V	VVFIN	3|Pl|Past|_	0	root	_	_
3	uns	wir	P	PPER	1|Pl|_|Dat	2	objd	1515	1515
4	bald	bald	A	ADV	_	2	adv	_	_
5	Leute	Leute	N	NN	_|Nom|Pl	2	subj	1514	1514
6	,	,	$	$,	_	0	root	1514	1514
7	die	die	P	PRELS	_|Nom|Pl	11	subj	1514	1514
8	uns	wir	P	PPER	1|Pl|_|_	11	obja	1515	1515
9	erst	erst	A	ADV	_	11	adv	_	_
10	verwundert	verwundert	A	ADJD	Pos|	11	adv	_	_
11	anstarrten	anstarren	V	VVFIN	3|Pl|Past|_	5	rel	_	_
12	und	und	K	KON	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
14	wenn	wenn	K	KOUS	_	19	konj	_	_
15	wir	wir	P	PPER	1|Pl|_|Nom	19	subj	1515	1515
16	an	an	P	APPR	Dat	19	pp	_	_
17	ihnen	sie	P	PPER	3|Pl|_|Dat	16	pn	1514	1514
18	vorbei	vorbei	A	APZR	_	16	part	_	_
19	waren	sein	V	VAFIN	1|Pl|Past|Ind	12	cj	_	_
20	,	,	$	$,	_	0	root	_	_
21	stehenblieben	stehenblieben	N	NE	_	0	root	_	_
22	,	,	$	$,	_	0	root	_	_
23	uns	wir	P	PPER	1|Pl|_|_	24	obja	1515	1515
24	nachblickten	nachblicken	V	VVFIN	_|Pl|Past|_	0	root	_	_
25	und	und	K	KON	_	24	kon	_	_
26	sicherlich	sicherlich	A	ADV	_	27	adv	_	_
27	murmelten	murmeln	V	VVFIN	_|Pl|Past|_	25	cj	_	_
28	:	\:	$	$.	_	0	root	_	_
29	»	»	$	$(	_	0	root	_	_
30	Jeses	Jeses	N	NE	Masc|Nom|Sg	0	root	_	_
31	,	,	$	$,	_	0	root	_	_
32	der	die	A	ART	Def|Masc|Nom|Sg	34	det	_	_
33	dicke	dick	A	ADJA	Pos|Masc|Nom|Sg|Wk|	34	attr	_	_
34	Schaumann	Schaumann	N	NN	Masc|Nom|Sg	30	app	_	_
35	hier	hier	A	ADV	_	34	adv	_	_
36	draußen	draußen	A	ADV	_	34	adv	_	_
37	?	?	$	$.	_	0	root	_	_

1	!	!	$	$.	_	0	root	_	_
2	«	«	$	$(	_	0	root	_	_

1	Dieses	diese	A	PDAT	Neut|Nom|Sg	2	det	1516	1516
2	Aufsehen	Aufsehen	N	NN	Neut|Nom|Sg	8	subj	1516	1516
3	,	,	$	$,	_	0	root	1516	1516
4	das	die	P	PRELS	Neut|_|Sg	6	obja	1516	1516
5	wir	wir	P	PPER	1|Pl|_|Nom	6	subj	1515	1515
6	machten	machen	V	VVFIN	1|Pl|Past|_	2	rel	_	_
7	,	,	$	$,	_	0	root	_	_
8	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	zu	zu	P	PTKVZ	_	8	avz	_	_
10	,	,	$	$,	_	0	root	_	_
11	je	je	A	ADV	_	12	adv	_	_
12	mehr	mehr	P	PIS	_	0	root	_	_
13	wir	wir	P	PPER	1|Pl|_|Nom	0	root	1515	1515
14	uns	wir	P	PRF	1|Pl|_	0	root	_	_
15	der	die	A	ART	Def|Fem|Dat|Sg	16	det	54	54
16	Stadt	Stadt	N	NN	Fem|Dat|Sg	17	objd	54	54
17	näherten	nähern	V	VVFIN	_|Pl|Past|_	0	root	_	_
18	und	und	K	KON	_	0	root	_	_
19	bürgerliche	bürgerlich	A	ADJA	Pos|Fem|_|Pl|St|	22	attr	_	_
20	,	,	$	$,	_	0	root	_	_
21	städtische	städtisch	A	ADJA	Pos|_|_|_|_|	19	kon	_	_
22	Gruppen	Gruppe	N	NN	Fem|_|Pl	18	cj	_	_
23	oder	oder	K	KON	_	22	kon	_	_
24	Einzelläufer	Einzelläufer	N	NN	Masc|_|_	23	cj	_	_
25	als	als	K	KOKOM	_	24	kom	_	_
26	Abendspaziergänger	Abendspaziergänger	N	NE	_	25	cj	_	_
27	uns	wir	P	PPER	1|Pl|_|Dat	28	objd	1515	1515
28	entgegenkamen	entgegenkommen	V	VVFIN	_|Pl|Past|Ind	0	root	_	_
29	.	.	$	$.	_	0	root	_	_

1	Einige	einige	A	PIAT	Neut|_|Pl	2	det	_	_
2	Male	Mal	N	NN	Neut|_|Pl	3	zeit	_	_
3	wurden	werden	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	1515	1515
5	nun	nun	A	ADV	_	7	adv	_	_
6	auch	auch	A	ADV	_	7	adv	_	_
7	angehalten	anhalten	V	VVPP	_	3	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	0	root	_	_
10	die	die	A	ART	Def|Fem|_|Sg	12	det	1553	1553
11	verwunderte	verwundert	A	ADJA	Pos|Fem|_|Sg|_|	12	attr	1553	1553
12	Frage	Frage	N	NN	Fem|_|Sg	9	cj	1553	1553
13	:	\:	$	$.	_	0	root	_	_
14	was	was	P	PWS	Neut|Nom|Sg	20	subj	_	_
15	ihn	er	P	PPER	3|Sg|Masc|Acc	20	obja	4	4
16	denn	denn	A	ADV	_	20	adv	_	_
17	in	in	P	APPR	Acc	20	pp	_	_
18	die	die	A	ART	Def|Fem|Acc|Sg	19	det	54	54
19	Stadt	Stadt	N	NN	Fem|Acc|Sg	17	pn	54	54
20	treibe	treiben	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
21	?	?	$	$.	_	0	root	_	_

1	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
2	dem	die	A	ART	Def|Masc|Dat|Sg	3	det	377	377
3	Freunde	Freund	N	NN	Masc|Dat|Sg	8	objd	377	377
4	in	in	P	APPR	Dat	8	pp	_	_
5	Worten	Wort	N	NN	Neut|Dat|Pl	4	pn	1517	1517
6	und	und	K	KON	_	4	kon	_	_
7	persönlichst	persönlich	A	ADJD	Sup|	6	cj	_	_
8	nahegelegt	nahelegen	V	VVPP	_	1	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Höflichkeitsgeschäfte	Höflichkeitsgeschäft	N	NN	Neut|_|_	0	root	_	_
