22	,	,	$	$,	_	0	root	_	_
23	keiner	keine	P	PIS	Masc|Nom|Sg	24	subj	_	_
24	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
25	einem	eine	P	PIS	_|Dat|Sg	30	objd	_	_
26	eine	eine	A	ART	Indef|Fem|_|Sg	28	det	_	_
27	genauere	genau	A	ADJA	Comp|Fem|_|Sg|_|	28	attr	_	_
28	Auskunft	Auskunft	N	NN	Fem|_|Sg	30	obja	_	_
29	darüber	darüber	P	PROAV	_	28	pp	_	_
30	geben	geben	V	VVINF	_	24	aux	_	_
31	-	-	$	$(	_	0	root	_	_
32	was	was	P	PWS	Neut|_|Sg	33	obja	_	_
33	meinen	meinen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
34	Sie	sie	P	PPER	3|Pl|_|Nom	33	subj	1808	1808
35	denn	denn	A	ADV	_	34	adv	1808	1808
36	,	,	$	$,	_	0	root	1808	1808
37	Frau	Frau	N	NN	Fem|Nom|Sg	34	app	1808	1808
38	Nachbarin	Nachbarin	N	NN	Fem|Nom|Sg	37	app	1808	1808
39	?	?	$	$.	_	0	root	_	_
40	«	«	$	$(	_	0	root	_	_
41	...	...	$	$.	_	0	root	_	_
42	»	»	$	$(	_	0	root	_	_
43	Ja	ja	P	PTKANT	_	0	root	_	_
44	,	,	$	$,	_	0	root	_	_
45	denken	denken	V	VVFIN	3|Pl|Pres|_	0	root	_	_
46	Sie	sie	P	PPER	3|Pl|_|Nom	45	subj	1808	1808
47	,	,	$	$,	_	0	root	_	_
48	wissen	wissen	V	VVFIN	3|Pl|Pres|_	45	s	_	_
49	Sie	sie	P	PPER	3|Pl|_|Nom	48	subj	1808	1808
50	,	,	$	$,	_	0	root	_	_
51	was	was	P	PRELS	Neut|Nom|Sg	54	subj	_	_
52	Marten	Marten	N	NE	_	54	obja	299	299
53	Marten	Marten	N	NE	_	52	app	299	299
54	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	48	objc	_	_
55	?	?	$	$.	_	0	root	_	_

1	Vorhin	vorhin	A	ADV	_	2	adv	_	_
2	begegne	begegnen	V	VVFIN	1|Sg|Pres|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	1809	1809
4	ihm	er	P	PPER	3|Sg|_|Dat	2	objd	299	299
5	bei	bei	P	APPR	Dat	2	pp	_	_
6	Sankt	Sankt	N	NN	_|Dat|_	5	pn	334	334
7	Cyprian	Cyprian	N	NE	Masc|Dat|Sg	6	app	334	334
8	,	,	$	$,	_	0	root	_	_
9	und	und	K	KON	_	2	kon	_	_
10	weil	weil	K	KOUS	_	18	konj	_	_
11	man	man	P	PIS	_|Nom|Sg	18	subj	_	_
12	seine	seine	A	PPOSAT	_|_|_	13	det	334	334
