3	nicht	nicht	P	PTKNEG	_	9	adv	_	_
4	gleich	gleich	A	ADJD	Pos|	9	adv	_	_
5	am	an	P	APPRART	Dat	9	pp	_	_
6	ersten	erst	A	ADJA	_|_|Dat|Sg|Wk|	7	attr	_	_
7	Tag	Tag	N	NN	_|Dat|Sg	5	pn	_	_
8	schon	schon	A	ADV	_	9	adv	_	_
9	geschaßt	geschaßt	V	VVPP	_	10	aux	_	_
10	wird	werden	V	VAFIN	3|Sg|Pres|Ind	12	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	12	subj	346	346
14	lügen	lügen	V	VVINF	_	15	aux	_	_
15	müssen	müssen	V	VMINF	_	12	aux	_	_
16	;	;	$	$.	_	0	root	_	_
17	daß	daß	K	KOUS	_	21	konj	_	_
18	es	es	P	PPER	3|Sg|Neut|Nom	21	subj	_	_
19	der	die	A	ART	Def|Masc|Nom|Sg	20	det	345	345
20	Neunte	Neunte	N	NN	Masc|Nom|Sg	21	pred	345	345
21	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
22	.	.	$	$.	_	0	root	_	_

1	Hosensackblank	Hosensackblank	N	NN	_|_|Sg	0	root	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	2	subj	26	26
4	zu	zu	P	APPR	Dat	6	pp	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	pn	346	346
6	herausgekommen	herauskommen	V	VVPP	_	2	aux	_	_
7	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	mit	mit	P	APPR	Dat	15	pp	_	_
3	dem	die	A	ART	Def|Neut|Dat|Sg	4	det	347	347
4	Geld	Geld	N	NN	Neut|Dat|Sg	2	pn	347	347
5	,	,	$	$,	_	0	root	347	347
6	das	die	P	PRELS	Neut|_|Sg	12	obja	347	347
7	ihm	er	P	PPER	3|Sg|_|Dat	12	objd	26	26
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	187	187
9	Herr	Herr	N	NN	Masc|Nom|Sg	13	subj	187	187
10	Doktor	Doktor	N	NN	Masc|Nom|Sg	9	app	187	187
11	dann	dann	A	ADV	_	12	adv	_	_
12	gegeben	geben	V	VVPP	_	13	aux	_	_
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	4	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	15	subj	187	187
17	in	in	P	APPR	_	22	pp	_	_
18	dritthalb	dritthalb	A	ADJA	_|_|_|Sg|_	19	attr	_	_
19	Tag	Tag	N	NN	_|_|Sg	17	pn	_	_
20	wieder	wieder	A	ADV	_	22	adv	_	_
21	fertig	fertig	A	ADJD	Pos|	22	pred	_	_
22	gewesen	sein	V	VAPP	_	15	aux	_	_
23	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	jeden	jede	A	PIDAT	Masc|Dat|Sg	3	det	_	_
3	Monat	Monat	N	NN	Masc|Dat|Sg	4	objd	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
5	das	die	A	ART	Def|Neut|_|Sg	0	root	_	_
6	so	so	A	ADV	_	0	root	_	_
7	gegangen	gehen	V	VVPP	_	0	root	_	_
8	:	\:	$	$.	_	0	root	_	_
9	heut	heuen	V	VVPP	_	10	aux	_	_
10	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
11	ich	ich	P	PPER	1|Sg|_|Nom	10	subj	346	346
12	ihn	er	P	PPER	3|Sg|Masc|Acc	9	obja	187	187
13	ausbezahlt	ausbezahlen	V	VVPP	_	10	neb	_	_
14	...	...	$	$.	_	0	root	_	_
15	übermorgen	übermorgen	A	ADV	_	0	root	_	_
16	:	\:	$	$.	_	0	root	_	_
17	hosensackblank	hosensackblank	A	ADJD	Pos|	0	root	_	_
18	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	jeden	jede	A	PIDAT	_|_|Sg	3	det	348	348
3	Tag	Tag	N	NN	_|_|Sg	1	cj	348	348
4	seinen	seine	A	PPOSAT	Masc|_|Sg	5	det	348	348
5	Rausch	Rausch	N	NN	Masc|_|Sg	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	wie	wie	P	PWAV	_	12	adv	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	9	det	_	_
9	Pfarrer	Pfarrer	N	NN	Masc|Nom|Sg	12	subj	_	_
10	die	die	A	ART	Def|_|_|_	11	det	_	_
11	Meß	Meß	N	NN	_|_|_	12	obja	_	_
12	liest	lesen	V	VVFIN	3|Sg|Pres|Ind	5	objc	_	_
13	!	!	$	$.	_	0	root	_	_

1	Kaum	kaum	A	ADV	_	2	adv	_	_
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	267	267
4	Herr	Herr	N	NN	Masc|Nom|Sg	2	subj	267	267
5	Doktor	Doktor	N	NN	Masc|Nom|Sg	2	pred	218	218
6	im	in	P	APPRART	Dat	5	pp	218	218
7	Bett	Bett	N	NN	Neut|Dat|Sg	6	pn	218	218
8	glegen	glegen	N	NE	Neut|Dat|Sg	7	app	218	218
9	,	,	$	$,	_	0	root	_	_
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	2	s	_	_
11	der	die	A	ART	Def|Masc|Nom|Sg	12	det	26	26
12	Pepi	Pepi	N	NN	Masc|Nom|Sg	10	subj	26	26
13	beim	bei	P	APPRART	Dat	15	pp	_	_
14	Faßl	Faßl	N	NN	_|Dat|_	13	pn	_	_
15	gesessen	sitzen	V	VVPP	_	10	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	3	det	352	352
2	einzigen	einzig	A	ADJA	Pos|_|Nom|Pl|Wk|	3	attr	352	352
3	Nächt	Nächt	N	NN	_|Nom|Pl	11	subj	352	352
4	,	,	$	$,	_	0	root	352	352
5	wo	wo	P	PWAV	_	8	adv	352	352
6	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	26	26
7	nicht	nicht	P	PTKNEG	_	8	adv	_	_
8	gesoffen	saufen	V	VVPP	_	9	aux	_	_
9	hat	haben	V	VAFIN	3|Sg|Pres|Ind	3	rel	_	_
