2	spärlichen	spärlich	A	ADJA	Pos|_|Nom|Pl|Wk|	3	attr	663	663
3	Lichter	Licht	N	NN	_|Nom|Pl	16	subj	663	663
4	,	,	$	$,	_	0	root	663	663
5	die	die	P	PRELS	_|Nom|Pl	14	subj	663	663
6	durch	durch	P	APPR	Acc	14	objp	_	_
7	die	die	A	ART	Def|Fem|Acc|Pl	8	det	_	_
8	Spalten	Spalt	N	NN	Fem|Acc|Pl	6	pn	_	_
9	der	die	A	ART	Def|Masc|Gen|Pl	10	det	_	_
10	Fensterläden	Fensterladen	N	NN	Masc|Gen|Pl	8	gmod	_	_
11	in	in	P	APPR	Acc	10	pp	_	_
12	das	die	A	ART	Def|Neut|Acc|Sg	13	det	81	81
13	Stübchen	Stübchen	N	NN	Neut|Acc|Sg	11	pn	81	81
14	fielen	fallen	V	VVFIN	3|Pl|Past|_	3	rel	_	_
15	,	,	$	$,	_	0	root	_	_
16	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	_
17	immer	immer	A	ADV	_	18	adv	_	_
18	blasser	blass	A	ADJD	Comp|	16	pred	_	_
19	und	und	K	KON	_	18	kon	_	_
20	blasser	blass	A	ADJD	Comp|	19	cj	_	_
21	,	,	$	$,	_	0	root	_	_
22	bis	bis	K	KOUS	_	26	konj	_	_
23	sie	sie	P	PPER	3|Pl|_|Nom	26	subj	663	663
24	endlich	endlich	A	ADJD	Pos|	26	adv	_	_
25	ganz	ganz	A	ADV	_	26	adv	_	_
26	erloschen	erlöschen	V	VVFIN	3|Pl|Past|Ind	16	neb	_	_
27	.	.	$	$.	_	0	root	_	_

1	Lehnls	Lehnls	A	ADJA	_|Fem|_|Sg|_	2	attr	664	664
2	Hand	Hand	N	NN	Fem|_|Sg	0	root	664	664
3	,	,	$	$,	_	0	root	_	_
4	die	die	P	PRELS	_|_|_	0	root	664	664
5	ruhig	ruhig	A	ADJD	Pos|	9	adv	_	_
6	auf	auf	P	APPR	Dat	9	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	665	665
8	Decke	Decke	N	NN	Fem|Dat|Sg	6	pn	665	665
9	gelegen	liegen	V	VVPP	_	11	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	hob	heben	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
12	sich	sie	P	PRF	3|_|_	11	obja	_	_
13	und	und	K	KON	_	11	kon	_	_
14	tastete	tasten	V	VVFIN	_|Sg|Past|_	13	cj	_	_
15	nach	nach	P	APPR	Dat	14	pp	_	_
16	Paulis	Paulis	N	NE	_|Dat|_	15	pn	75	75
17	Arm	Arm	N	NN	Masc|_|Sg	14	obja	238	238
18	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Bub	Bub	N	NN	Masc|_|Sg	0	root	962	962
3	!	!	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_
5	flüsterte	flüstern	V	VVFIN	3|Sg|Past|_	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	666	666
7	Kranke	Kranke	N	NN	Masc|Nom|Sg	5	subj	666	666
8	,	,	$	$,	_	0	root	_	_
9	ohne	ohne	K	KOUI	_	14	konj	_	_
10	den	die	A	ART	Def|Masc|Acc|Sg	12	det	_	_
11	verbundenen	verbunden	A	ADJA	Pos|Masc|Acc|Sg|_|	12	attr	_	_
12	Kopf	Kopf	N	NN	Masc|Acc|Sg	14	obja	_	_
13	zu	zu	P	PTKZU	_	14	part	_	_
14	regen	regen	V	VVINF	_	5	neb	_	_
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	3	obja	_	_
3	magst	mögen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	Pauli	Pauli	N	NE	_|Nom|Sg	6	subj	40	40
8	und	und	K	KON	_	6	kon	_	_
9	beugte	beugen	V	VVFIN	_|Sg|Past|_	8	cj	_	_
10	sich	sie	P	PRF	3|_|_	9	obja	_	_
11	nieder	nieder	P	PTKVZ	_	9	avz	_	_
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hörst	hören	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|_	2	obja	_	_
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	Er	er	P	PPER	3|Sg|Masc|Nom	7	subj	5	5
7	meinte	meinen	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	die	die	A	ART	Def|Fem|_|Sg	10	det	_	_
9	herüberklingende	herüberklingend	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	10	attr	_	_
10	Musik	Musik	N	NN	Fem|_|Sg	7	obja	_	_
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Möchtest	mögen	V	VMFIN	2|Sg|Past|Subj	0	root	_	_
3	leicht	leicht	A	ADJD	Pos|	2	adv	_	_
4	ein	eine	A	ART	Indef|_|_|Sg	5	det	_	_
5	bißl	bißl	F	FM	_|_|Sg	2	obja	_	_
6	ummi	ummi	F	FM	_|_|Sg	5	app	_	_
7	?	?	$	$.	_	0	root	_	_

1	Gelt	Gelt	N	NE	_	0	root	357	357
2	?	?	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	3	obja	_	_
3	fallt	fallen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
4	dir	du	P	PPER	2|Sg|_|Dat	3	objd	667	667
5	ein	ein	P	PTKVZ	_	3	avz	_	_
6	!	!	$	$.	_	0	root	_	_

