18	bist	sein	V	VAFIN	2|Sg|Pres|Ind	14	objc	_	_
19	.	.	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	wahrhaftig	wahrhaftig	A	ADJD	Pos|	0	root	_	_
4	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	warum	warum	P	PWAV	_	5	adv	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	91	91
5	komme	kommen	V	VVFIN	1|Sg|Pres|_	1	cj	_	_
6	.	.	$	$.	_	0	root	_	_

1	Jott	Jott	N	NE	_	4	vok	93	93
2	,	,	$	$,	_	0	root	_	_
3	man	man	P	PIS	_|Nom|Sg	4	subj	_	_
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	doch	doch	A	ADV	_	4	adv	_	_
6	keine	keine	A	PIAT	Fem|_|Sg	8	det	571	571
7	ruhige	ruhig	A	ADJA	Pos|Fem|_|Sg|_|	8	attr	571	571
8	Stunde	Stunde	N	NN	Fem|_|Sg	4	obja	571	571
9	.	.	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Was	was	P	PWS	Neut|_|Sg	0	root	_	_
3	is	is	F	FM	_	0	root	_	_
4	denn	denn	A	ADV	_	0	root	_	_
5	?	?	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	21	21
3	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	heute	heute	A	ADV	_	3	adv	_	_
5	wieder	wieder	A	ADV	_	3	adv	_	_
6	.	.	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Nu	Nu	N	NN	_|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Pauline	Pauline	N	NE	Fem|_|Sg	2	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	A	ART	Def|Neut|_|Sg	7	det	_	_
7	is	is	F	FM	Neut|_|Sg	0	root	_	_
8	doch	doch	A	ADV	_	10	adv	851	851
9	kein	keine	A	PIAT	Neut|_|Sg	10	det	851	851
10	Unglück	Unglück	N	NN	Neut|_|Sg	0	root	851	851
11	.	.	$	$.	_	0	root	_	_

1	Bedenke	bedenken	V	VVFIN	_|Sg|Pres|_	0	root	_	_
2	doch	doch	A	ADV	_	1	adv	_	_
3	,	,	$	$,	_	0	root	_	_
4	daß	daß	K	KOUS	_	8	konj	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	8	subj	21	21
6	für	für	P	APPR	Acc	8	objp	_	_
7	alles	alle	P	PIS	Neut|Acc|Sg	6	pn	_	_
8	sorgt	sorgen	V	VVFIN	3|Sg|Pres|Ind	1	objc	_	_
9	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	so	so	A	ADV	_	3	adv	_	_
3	gut	gut	A	ADJD	Pos|	6	pred	_	_
4	wie	wie	K	KOKOM	_	3	kom	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	4	cj	21	21
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	_
7	und	und	K	KON	_	0	root	_	_
8	gar	gar	A	ADV	_	9	adv	_	_
9	nicht	nicht	P	PTKNEG	_	10	adv	_	_
10	so	so	A	ADV	_	7	cj	_	_
11	.	.	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Na	Na	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	0	root	103	103
5	wollt	wollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	ihm	er	P	PPER	3|Sg|_|Dat	5	objd	21	21
8	auch	auch	A	ADV	_	5	adv	_	_
9	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	den	die	A	ART	Def|Masc|Acc|Sg	4	det	279	279
3	alten	alt	A	ADJA	Pos|Masc|Acc|Sg|_|	4	attr	279	279
4	Baron	Baron	N	NN	Masc|Acc|Sg	5	obja	279	279
5	bringt	bringen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	21	21
7	auch	auch	A	ADV	_	5	adv	_	_
8	mit	mit	P	APPR	Dat	5	pp	_	_
9	und	und	K	KON	_	8	kon	_	_
10	noch	noch	A	ADV	_	9	cj	_	_
11	einen	eine	P	PIS	_|_|_	0	root	_	_
12	.	.	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	noch	noch	A	ADV	_	4	adv	_	_
4	einen	eine	P	PIS	_|_|_	2	cj	_	_
5	?	?	$	$.	_	0	root	_	_

1	Wen	wer	P	PWS	_|Acc|Sg	0	root	_	_
2	denn	denn	A	ADV	_	1	adv	_	_
3	?	?	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Lies	Lies	N	NE	_	0	root	_	_
3	.	.	$	$.	_	0	root	_	_
4	«	«	$	$(	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	20	20
3	reichte	reichen	V	VVFIN	3|Sg|Past|_	1	cj	_	_
4	Stine	Stine	N	NE	_|Dat|_	3	objd	75	75
5	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
6	eben	eben	A	ADV	_	7	adv	_	_
7	erhaltenen	erhalten	A	ADJA	Pos|Masc|Acc|Sg|_|	8	attr	_	_
8	Brief	Brief	N	NN	Masc|Acc|Sg	3	obja	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	3	kon	_	_
