3	,	,	$	$,	_	0	root	_	_
4	doch	doch	A	ADV	_	0	root	_	_
5	.	.	$	$.	_	0	root	_	_

1	Viel	Viel	A	ADV	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	viel	viel	A	ADV	_	4	adv	_	_
4	mehr	mehr	P	PIS	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	als	als	K	KOKOM	_	8	kom	_	_
7	du	du	P	PPER	2|Sg|_|Nom	6	cj	912	912
8	glaubst	glauben	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
9	.	.	$	$.	_	0	root	_	_

1	Denn	denn	K	KON	_	0	root	_	_
2	sieh	sehen	V	VVIMP	Sg	1	cj	_	_
3	,	,	$	$,	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	5	subj	911	911
5	habe	haben	V	VAFIN	1|Sg|Pres|_	0	root	_	_
6	nur	nur	A	ADV	_	9	adv	_	_
7	an	an	P	APPR	Acc	9	objp	_	_
8	mich	ich	P	PRF	1|Sg|Acc	7	pn	_	_
9	gedacht	denken	V	VVPP	_	5	aux	_	_
10	;	;	$	$.	_	0	root	_	_
11	das	die	P	PDS	Neut|Nom|Sg	12	subj	_	_
12	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
13	es	es	P	PPER	3|Sg|Neut|Nom	12	pred	_	_
14	;	;	$	$.	_	0	root	_	_
15	da	da	A	ADV	_	16	adv	_	_
16	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
17	meine	meine	A	PPOSAT	Fem|Nom|Sg	18	det	911	911
18	Schuld	Schuld	N	NN	Fem|Nom|Sg	16	subj	_	_
19	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	alles	alle	P	PIS	_|_|Sg	2	adv	_	_
4	von	von	P	APPR	Dat	2	pp	_	_
5	Gott	Gott	N	NN	Masc|Dat|Sg	4	pn	77	77
6	,	,	$	$,	_	0	root	_	_
7	auch	auch	A	ADV	_	9	adv	913	913
8	das	die	A	ART	Def|Neut|Nom|Sg	9	det	913	913
9	Unrecht	Unrecht	N	NN	Neut|Nom|Sg	18	subj	913	913
10	,	,	$	$,	_	0	root	913	913
11	das	die	P	PRELS	Neut|_|Sg	14	obja	913	913
12	man	man	P	PIS	_|Nom|Sg	14	subj	_	_
13	uns	wir	P	PPER	1|Pl|_|Dat	14	objd	914	914
14	antut	antun	V	VVFIN	3|Sg|Pres|Ind	9	rel	_	_
15	,	,	$	$,	_	0	root	_	_
16	und	und	K	KON	_	9	kon	_	_
17	wir	wir	P	PPER	1|Pl|_|Nom	16	cj	914	914
18	müssen	müssen	V	VMFIN	_|Pl|Pres|_	2	kon	_	_
19	es	es	P	PPER	3|Sg|Neut|_	20	obja	_	_
20	tragen	tragen	V	VVINF	_	21	obji	_	_
21	lernen	lernen	V	VVINF	_	18	aux	_	_
22	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	6	objd	911	911
4	Gigas	Gigas	N	NE	_	6	obja	36	36
5	oft	oft	A	ADV	_	6	adv	_	_
6	gesagt	sagen	V	VVPP	_	2	aux	_	_
7	,	,	$	$,	_	0	root	_	_
8	so	so	A	ADV	_	9	adv	_	_
9	oft	oft	A	ADV	_	0	root	_	_
10	;	;	$	$.	_	0	root	_	_
11	aber	aber	K	KON	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	0	root	911	911
13	wollt	wollen	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
14	es	es	P	PPER	3|Sg|Neut|_	16	obja	_	_
15	nicht	nicht	P	PTKNEG	_	16	adv	_	_
16	tragen	tragen	V	VVINF	_	13	aux	_	_
17	und	und	K	KON	_	0	root	_	_
18	hab	hab	F	FM	_	17	cj	_	_
19	aufgebäumt	aufgebäumt	F	FM	_	18	app	_	_
20	in	in	P	APPR	_	19	pp	_	_
21	Haß	Haß	N	NN	Masc|_|Sg	20	pn	1115	1115
22	und	und	K	KON	_	20	kon	_	_
23	in	in	P	APPR	_	22	cj	_	_
24	Ungeduld	Ungeduld	N	NN	Fem|_|Sg	23	pn	_	_
25	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	in	in	P	APPR	Dat	8	pp	_	_
3	meinem	meine	A	PPOSAT	Masc|Dat|Sg	4	det	911	911
4	Haß	Haß	N	NN	Masc|Dat|Sg	2	pn	_	_
5	und	und	K	KON	_	4	kon	_	_
6	meiner	meine	A	PPOSAT	Fem|Dat|Sg	7	det	911	911
