14	Unruhe	Unruhe	N	NN	Fem|_|Sg	11	pn	_	_
15	dieses	diese	A	PDAT	Neut|Gen|Sg	16	det	_	_
16	Vorgefühls	Vorgefühl	N	NN	Neut|Gen|Sg	14	gmod	_	_
17	;	;	$	$.	_	0	root	_	_
18	im	in	P	APPRART	Dat	20	pp	_	_
19	Fortwollen	Fortwolle	N	NN	_|Dat|_	18	pn	_	_
20	zitterten	zittern	V	VVFIN	3|Pl|Past|_	0	root	_	_
21	ihre	ihre	A	PPOSAT	Fem|Nom|Pl	22	det	5	5
22	Hände	Hand	N	NN	Fem|Nom|Pl	20	subj	6	6
23	vor	vor	P	APPR	Dat	20	pp	_	_
24	nervöser	nervös	A	ADJA	Pos|Fem|Dat|Sg|St|	25	attr	_	_
25	Eile	Eile	N	NN	Fem|Dat|Sg	23	pn	_	_
26	,	,	$	$,	_	0	root	_	_
27	zerstreut	zerstreut	A	ADJD	Pos|	28	adv	_	_
28	fing	fangen	V	VVFIN	3|Sg|Past|Ind	20	kon	_	_
29	sie	sie	P	PPER	3|Sg|Fem|Nom	28	subj	3	3
30	seine	seine	A	PPOSAT	Neut|_|Pl	31	det	4	4
31	Worte	Wort	N	NN	Neut|_|Pl	28	obja	71	71
32	auf	auf	P	PTKVZ	_	28	avz	_	_
33	und	und	K	KON	_	28	kon	_	_
34	wehrte	wehren	V	VVFIN	_|Sg|Past|_	33	cj	_	_
35	hastig	hastig	A	ADJD	Pos|	34	adv	_	_
36	den	die	A	ART	Def|Masc|Dat|Pl	37	det	_	_
37	Nachzüglern	Nachzügler	N	NN	Masc|Dat|Pl	34	objd	_	_
38	seiner	seine	A	PPOSAT	Fem|Gen|Sg	39	det	4	4
39	Leidenschaft	Leidenschaft	N	NN	Fem|Gen|Sg	37	gmod	_	_
40	;	;	$	$.	_	0	root	_	_
41	fort	fort	P	PTKVZ	_	0	root	_	_
42	,	,	$	$,	_	0	root	_	_
43	nur	nur	A	ADV	_	44	adv	_	_
44	fort	fort	A	ADV	_	45	adv	_	_
45	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
46	dann	dann	A	ADV	_	45	adv	_	_
47	immer	immer	A	ADV	_	48	adv	_	_
48	schon	schon	A	ADV	_	45	adv	_	_
49	alles	alle	P	PIS	Neut|Nom|Sg	45	subj	_	_
50	in	in	P	APPR	Dat	45	pp	_	_
51	ihr	ihr	P	PPER	3|Sg|Fem|Dat	50	pn	3	3
52	,	,	$	$,	_	0	root	_	_
53	aus	aus	P	APPR	Dat	45	pp	_	_
54	seiner	seine	A	PPOSAT	Fem|Dat|Sg	55	det	4	4
