24	brach	brechen	V	VVFIN	3|Sg|Past|Ind	22	cj	_	_
25	denn	denn	A	ADV	_	24	adv	_	_
26	die	die	A	ART	Def|Fem|Nom|Sg	29	det	_	_
27	berühmte	berühmt	A	ADJA	Pos|Fem|Nom|Sg|_|	29	attr	_	_
28	»	»	$	$(	_	0	root	_	_
29	Sommerschlittenfahrt	Sommerschlittenfahrt	N	NN	Fem|Nom|Sg	24	subj	_	_
30	«	«	$	$(	_	0	root	_	_
31	über	über	P	APPR	_	24	objp	_	_
32	Näher-	Näher-	T	TRUNC	_|_|_	31	pn	_	_
33	und	und	K	KON	_	32	kon	_	_
34	Fernerstehende	Fernerstehende	N	NN	_|_|_	33	cj	_	_
35	gleichmäßig	gleichmäßig	A	ADJD	Pos|	24	adv	_	_
36	überraschend	überraschend	A	ADJD	_|_	24	adv	_	_
37	herein	herein	P	PTKVZ	_	24	avz	_	_
38	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	0	root	_	_
2	einem	eine	P	PIS	_|Dat|Sg	1	pn	_	_
3	der	die	A	ART	Def|_|_|_	0	root	_	_
4	in	in	P	APPR	Dat	8	pp	_	_
5	der	die	A	ART	Def|Fem|Dat|Sg	6	det	932	932
6	Nähe	Nähe	N	NN	Fem|Dat|Sg	4	pn	932	932
7	der	die	A	ART	Def|_|_|_	8	det	_	_
8	Mittel-	Mittel-	T	TRUNC	Fem|Dat|Sg	18	objd	_	_
9	und	und	K	KON	_	8	kon	_	_
10	Dorotheenstraße	Dorotheenstraße	N	NE	Fem|_|Sg	9	cj	_	_
11	gelegenen	gelegen	A	ADJA	Pos|Neut|_|_|Wk|	12	attr	_	_
12	Stallgebäude	Stallgebäude	N	NN	Neut|_|_	10	app	_	_
13	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
14	man	man	P	PIS	_|Nom|Sg	13	subj	_	_
15	sich	sie	P	PRF	3|_|_	18	obja	_	_
16	bei	bei	P	APPR	Dat	18	pp	_	_
17	Dunkelwerden	Dunkelwerden	N	NN	Neut|Dat|Sg	16	pn	_	_
18	versammelt	versammeln	V	VVPP	_	13	aux	_	_
19	,	,	$	$,	_	0	root	_	_
20	und	und	K	KON	_	13	kon	_	_
21	ein	eine	A	ART	Indef|_|_|Sg	24	det	_	_
22	Dutzend	Dutzend	N	NN	Neut|_|Sg	23	grad	_	_
23	prachtvoll	prachtvoll	A	ADJD	Pos|	24	adv	_	_
24	gekleideter	gekleidet	A	ADJA	Masc|Nom|Sg	41	subj	_	_
25	und	und	K	KON	_	24	kon	_	_
26	von	von	P	APPR	_	25	cj	_	_
27	Fackelträgern	Fackelträger	N	NN	Masc|_|_	26	pn	_	_
28	begleiteter	begleitet	A	ADJA	Pos|Masc|Gen|Pl|St|	29	attr	933	933
29	Vorreiter	Vorreiter	N	NN	Masc|Gen|Pl	27	gmod	933	933
30	vorauf	vorauf	N	NE	Masc|Gen|Pl	29	app	933	933
31	,	,	$	$,	_	0	root	_	_
32	ganz	ganz	A	ADV	_	33	adv	_	_
33	also	also	A	ADV	_	26	kon	_	_
34	,	,	$	$,	_	0	root	_	_
35	wie	wie	P	PWAV	_	39	adv	_	_
36	Zieten	Zieten	N	NE	_|Nom|Sg	39	subj	892	892
37	es	es	P	PPER	3|Sg|Neut|_	39	obja	_	_
38	proponiert	proponiert	A	ADJD	Pos|	39	adv	_	_
39	hatte	haben	V	VAFIN	3|Sg|Past|Ind	24	objc	_	_
40	,	,	$	$,	_	0	root	_	_
41	schoß	schoß	V	VVFIN	_	20	cj	_	_
42	man	man	P	PIS	_|Nom|Sg	0	root	_	_
43	mit	mit	P	APPR	Dat	42	pp	_	_
44	dem	die	A	ART	Def|Masc|Dat|Sg	45	det	_	_
45	Glockenschlage	Glockenschlag	N	NN	Masc|Dat|Sg	43	pn	_	_
46	neun	neun	C	CARD	_	45	app	_	_
47	an	an	P	APPR	Dat	45	pp	_	_
48	dem	die	A	ART	Def|Neut|Dat|Sg	49	det	_	_
49	Akademiegebäude	Akademiegebäude	N	NN	Neut|Dat|Sg	47	pn	_	_
50	vorüber	vorüber	A	ADV	_	49	adv	_	_
51	auf	auf	P	APPR	Acc	49	pp	_	_
52	die	die	A	ART	Def|_|Acc|Pl	53	det	238	238
53	Linden	Linde	N	NN	_|Acc|Pl	51	pn	238	238
54	zu	zu	P	PTKVZ	_	0	root	_	_
55	,	,	$	$,	_	0	root	_	_
56	jagte	jagen	V	VVFIN	_|Sg|Past|_	0	root	_	_
57	weiter	weiter	A	ADV	_	58	adv	_	_
58	abwärts	abwärts	A	ADV	_	56	adv	_	_
59	erst	erst	A	ADV	_	56	adv	_	_
60	in	in	P	APPR	_	0	root	_	_
61	die	die	A	ART	Def|_|_|_	0	root	_	_
62	Wilhelms-	Wilhelms-	T	TRUNC	Acc	0	root	_	_
63	,	,	$	$,	_	0	root	_	_
64	dann	dann	A	ADV	_	67	adv	_	_
65	aber	aber	A	ADV	_	67	adv	_	_
66	umkehrend	umkehren	A	ADJD	_|<PPRES	67	adv	_	_
67	in	in	P	APPR	Acc	62	kon	_	_
68	die	die	A	ART	Def|_|_|_	69	det	_	_
69	Behren-	Behren-	T	TRUNC	_|_|_	67	pn	_	_
70	und	und	K	KON	_	69	kon	_	_
71	Charlottenstraße	Charlottenstraß	N	NN	_|_|_	70	cj	934	934
72	hinein	hinein	P	PTKVZ	_	0	root	_	_
73	und	und	K	KON	_	0	root	_	_
74	wiederholte	wiederholen	V	VVFIN	_|Sg|Past|_	73	cj	_	_
75	diese	diese	A	PDAT	Fem|_|Sg	76	det	935	935
76	Fahrt	Fahrt	N	NN	Fem|_|Sg	74	obja	935	935
77	um	um	P	APPR	Acc	74	pp	_	_
78	das	die	A	ART	Def|Neut|Acc|Sg	81	det	_	_
79	eben	eben	A	ADV	_	80	adv	_	_
80	bezeichnete	bezeichnet	A	ADJA	Pos|Neut|Acc|Sg|Wk|	81	attr	_	_
81	Lindencarré	Lindencarré	N	NN	Neut|Acc|Sg	77	pn	_	_
82	herum	herum	A	APZR	_	77	part	_	_
83	in	in	P	APPR	Dat	74	pp	_	_
84	einer	eine	A	ART	Indef|Fem|Dat|Sg	87	det	_	_
85	immer	immer	A	ADV	_	86	adv	_	_
86	gesteigerten	gesteigert	A	ADJA	Pos|Fem|Dat|Sg|Wk|	87	attr	_	_
87	Eile	Eile	N	NN	Fem|Dat|Sg	83	pn	_	_
88	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	11	konj	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	904	904
3	Zug	Zug	N	NN	Masc|Nom|Sg	11	subj	904	904
4	das	die	A	ART	Def|Neut|_|Sg	6	det	_	_
5	erste	erst	A	ADJA	_|Neut|_|Sg|Wk|	6	attr	_	_
6	Mal	Mal	N	NN	Neut|_|Sg	11	obja	_	_
7	an	an	P	APPR	Dat	11	pp	_	_
8	dem	die	A	ART	Def|Neut|Dat|Sg	9	det	_	_
9	Carayonschen	Carayonschen	N	NN	Neut|Dat|Sg	7	pn	_	_
10	Hause	Haus	N	NN	Neut|Dat|Sg	9	app	_	_
11	vorüberkam	vorüberkommen	V	VVFIN	3|Sg|Past|Ind	26	neb	_	_
12	und	und	K	KON	_	11	kon	_	_
13	das	die	A	ART	Def|Neut|Nom|Sg	14	det	_	_
14	Licht	Licht	N	NN	Neut|Nom|Sg	24	subj	_	_
15	der	die	A	ART	Def|Fem|Gen|Pl	17	det	_	_
16	voraufreitenden	voraufreitend	A	ADJA	Pos|Fem|Gen|Pl|Wk|<PPRES	17	attr	_	_
