22	Vorgefallenen	Vorgefallte	N	NN	_|Dat|Sg	20	pn	_	_
23	hätte	haben	V	VAFIN	_|Sg|Past|Subj	12	neb	_	_
24	vorausgesetzt	voraussetzen	V	VVPP	_	25	aux	_	_
25	werden	werden	V	VAINF	_	26	aux	_	_
26	sollen	sollen	V	VMINF	_	23	aux	_	_
27	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	doch	doch	A	ADV	_	3	adv	_	_
3	erklärte	erklären	V	VVFIN	_|Sg|Past|_	1	cj	_	_
4	sich	sie	P	PRF	3|_|_	3	obja	_	_
5	'	'	$	$(	_	0	root	_	_
6	s	s	P	PPER	_|Sg|_|Nom	3	subj	1442	1442
7	auch	auch	A	ADV	_	3	adv	_	_
8	wieder	wieder	A	ADV	_	3	adv	_	_
9	.	.	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	Neut|_|Sg	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	was	was	P	PRELS	Neut|Nom|Sg	5	subj	_	_
4	geschehen	geschehen	V	VVPP	_	5	aux	_	_
5	war	sein	V	VAFIN	3|Sg|Past|Ind	1	rel	_	_
6	,	,	$	$,	_	0	root	_	_
7	so	so	A	ADV	_	9	adv	_	_
8	schmerzlich	schmerzlich	A	ADJD	Pos|	9	adv	_	_
9	es	es	P	PPER	3|Sg|Neut|_	1	kon	_	_
10	hüben	hüben	A	ADV	_	9	adv	_	_
11	und	und	K	KON	_	0	root	_	_
12	drüben	drüben	T	TRUNC	_	0	root	_	_
13	berührt	berühren	V	VVPP	_	14	aux	_	_
14	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
15	,	,	$	$,	_	0	root	_	_
16	war	sein	V	VAFIN	_|Sg|Past|Ind	14	kon	_	_
17	doch	doch	A	ADV	_	24	adv	_	_
18	schließlich	schließlich	A	ADV	_	24	adv	_	_
19	von	von	P	APPR	_	24	pp	_	_
20	jeder	jede	P	PIS	Fem|_|Sg	19	pn	_	_
21	der	die	A	ART	Def|Fem|Gen|Pl	23	det	_	_
22	beiden	beide	A	PIDAT	Fem|Gen|Pl	23	attr	_	_
23	Parteien	Partei	N	NN	Fem|Gen|Pl	20	gmod	_	_
24	verstanden	verstehen	V	VVPP	_	25	aux	_	_
25	worden	werden	V	VAPP	_	16	aux	_	_
26	,	,	$	$,	_	0	root	_	_
27	und	und	K	KON	_	16	kon	_	_
28	wo	wo	P	PWAV	_	30	adv	_	_
29	Verständnis	Verständnis	N	NN	Neut|Nom|Sg	30	subj	_	_
30	ist	sein	V	VAFIN	3|Sg|Pres|Ind	32	objc	_	_
31	,	,	$	$,	_	0	root	_	_
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	27	cj	_	_
33	auch	auch	A	ADV	_	32	adv	_	_
34	Verzeihung	Verzeihung	N	NN	Fem|Nom|Sg	32	subj	_	_
35	oder	oder	K	KON	_	34	kon	_	_
36	wenigstens	wenigstens	A	ADV	_	38	adv	_	_
37	die	die	A	ART	Def|Fem|Nom|Sg	38	det	_	_
38	Möglichkeit	Möglichkeit	N	NN	Fem|Nom|Sg	35	cj	_	_
39	einer	eine	A	ART	Indef|Fem|_|Sg	40	part	_	_
40	solchen	solche	P	PIS	_|Nom|Pl	32	pred	_	_
41	.	.	$	$.	_	0	root	_	_

1	Alles	alle	P	PIS	Neut|Nom|Sg	2	subj	_	_
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	11	obja	_	_
4	in	in	P	APPR	Dat	11	pp	_	_
5	natürlicher	natürlich	A	ADJA	Pos|Fem|Dat|Sg|St|	6	attr	_	_
6	Konsequenz	Konsequenz	N	NN	Fem|Dat|Sg	4	pn	_	_
7	aus	aus	P	APPR	Dat	6	pp	_	_
8	den	die	A	ART	Def|Neut|Dat|Pl	9	det	1413	1413
9	Verhältnissen	Verhältnis	N	NN	Neut|Dat|Pl	7	pn	1413	1413
10	heraus	heraus	A	APZR	_	7	part	_	_
11	entwickelt	entwickeln	V	VVPP	_	2	aux	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	weder	weder	K	KON	_	0	root	_	_
15	die	die	A	ART	Def|Fem|_|Sg	16	det	1443	1443
16	Flucht	Flucht	N	NN	Fem|_|Sg	0	root	1443	1443
17	,	,	$	$,	_	0	root	_	_
18	die	die	A	ART	Def|_|_|_	19	det	125	125
19	Schach	Schach	N	NN	Fem|Nom|Sg	20	subj	125	125
20	bewerkstelligt	bewerkstelligen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
21	,	,	$	$,	_	0	root	_	_
22	noch	noch	K	KON	_	0	root	_	_
23	die	die	A	ART	Def|Fem|_|Sg	24	det	_	_
24	Klage	Klage	N	NN	Fem|_|Sg	22	cj	_	_
25	,	,	$	$,	_	0	root	_	_
26	die	die	A	ART	Def|Fem|Nom|Sg	27	det	_	_
27	Frau	Frau	N	NN	Fem|Nom|Sg	34	subj	_	_
28	von	von	P	APPR	_	27	pp	_	_
29	Carayon	Carayon	N	NE	_|_|_	28	pn	0	0
30	an	an	P	APPR	Dat	29	pp	0	0
31	oberster	oberste	A	ADJA	Pos|Fem|Dat|Sg|St|	32	attr	0	0
32	Stelle	Stelle	N	NN	Fem|Dat|Sg	30	pn	0	0
33	geführt	führen	V	VVPP	_	34	aux	_	_
34	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
35	,	,	$	$,	_	0	root	_	_
36	hatten	haben	V	VAFIN	_|Pl|Past|Ind	34	kon	_	_
37	Übelwollen	Übelwolle	N	NN	_|_|_	40	obja	_	_
38	oder	oder	K	KON	_	37	kon	_	_
39	Gehässigkeit	Gehässigkeit	N	NN	Fem|_|Sg	38	cj	_	_
40	ausdrücken	ausdrücken	V	VVINF	_	41	aux	_	_
41	sollen	sollen	V	VMINF	_	36	aux	_	_
42	.	.	$	$.	_	0	root	_	_

1	Als	Als	K	KOUS	_	8	konj	_	_
2	das	die	A	ART	Def|Neut|Nom|Sg	3	det	12	12
3	Gespräch	Gespräch	N	NN	Neut|Nom|Sg	8	subj	12	12
4	einen	eine	A	ART	Indef|Masc|Acc|Sg	5	det	_	_
5	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	8	obja	_	_
6	zu	zu	P	PTKZU	_	7	part	_	_
7	stocken	stocken	V	VVINF	_	8	obji	_	_
8	begann	beginnen	V	VVFIN	3|Sg|Past|Ind	10	neb	_	_
9	,	,	$	$,	_	0	root	_	_
10	erschien	erscheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	Victoire	Victoire	N	NE	_|Nom|Sg	10	subj	14	14
12	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	14	14
2	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sehr	sehr	A	ADV	_	4	adv	_	_
4	gut	gut	A	ADJD	Pos|	2	pred	_	_
5	aus	aus	P	PTKVZ	_	2	avz	_	_
6	,	,	$	$,	_	0	root	_	_
7	nicht	nicht	P	PTKNEG	_	8	adv	_	_
8	abgehärmt	abgehärmt	A	ADJD	_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	vielmehr	vielmehr	A	ADV	_	11	adv	_	_
11	frischer	frisch	A	ADJD	Comp|	0	root	_	_
12	als	als	K	KOKOM	_	11	kom	_	_
13	sonst	sonst	A	ADV	_	12	cj	_	_
14	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	5	5
2	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	ihr	ihr	P	PPER	3|Sg|Fem|Dat	2	objd	14	14
4	entgegen	entgegen	P	PTKVZ	_	2	avz	_	_
5	,	,	$	$,	_	0	root	_	_
6	nicht	nicht	P	PTKNEG	_	7	adv	_	_
7	kalt	kalt	A	ADJD	Pos|	0	root	_	_
8	und	und	K	KON	_	7	kon	_	_
9	zeremoniös	zeremoniös	T	TRUNC	Pos|	8	cj	_	_
10	,	,	$	$,	_	0	root	_	_
11	sondern	sondern	K	KON	_	9	kon	_	_
12	herzlich	herzlich	A	ADJD	Pos|	11	cj	_	_
13	,	,	$	$,	_	0	root	_	_
14	und	und	K	KON	_	0	root	_	_
15	der	die	A	ART	Def|Masc|Nom|Sg	16	det	_	_
16	Ausdruck	Ausdruck	N	NN	Masc|Nom|Sg	14	cj	_	_
17	einer	eine	A	ART	Indef|Fem|Gen|Sg	21	det	_	_
18	innigen	innig	A	ADJA	Pos|Fem|Gen|Sg|Wk|	21	attr	_	_
19	und	und	K	KON	_	18	kon	_	_
20	aufrichtigen	aufrichtig	A	ADJA	Pos|_|Gen|_|_|	19	cj	_	_
21	Teilnahme	Teilnahme	N	NN	Fem|Gen|Sg	16	gmod	_	_
22	,	,	$	$,	_	0	root	_	_
23	womit	womit	P	PWAV	_	27	pp	_	_
24	er	er	P	PPER	3|Sg|Masc|Nom	27	subj	5	5
25	auf	auf	P	APPR	Acc	27	pp	_	_
26	sie	sie	P	PPER	3|_|_|Acc	25	pn	14	14
27	sah	sehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
28	und	und	K	KON	_	27	kon	_	_
29	ihr	ihr	P	PPER	3|Sg|Fem|Dat	32	objd	14	14
30	die	die	A	ART	Def|Fem|Nom|Sg	31	det	16	16
31	Hand	Hand	N	NN	Fem|Nom|Sg	32	subj	16	16
32	reichte	reichen	V	VVFIN	3|Sg|Past|_	28	cj	_	_
33	,	,	$	$,	_	0	root	_	_
34	besiegelte	besiegeln	V	VVFIN	_|Sg|Past|_	0	root	_	_
35	den	die	A	ART	Def|_|_|_	36	det	_	_
36	Frieden	Frieda	N	NN	_|_|_	34	obja	_	_
37	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	kein	keine	A	PIAT	Masc|Nom|Sg	4	det	_	_
4	Zweifel	Zweifel	N	NN	Masc|Nom|Sg	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	7	subj	5	5
7	war	sein	V	VAFIN	3|Sg|Past|Ind	2	kon	_	_
8	ergriffen	ergreifen	V	VVPP	_	7	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	7	kon	_	_
11	während	während	K	KOUS	_	15	konj	_	_
12	Victoire	Victoire	N	NE	_|Nom|Sg	15	subj	14	14
13	vor	vor	P	APPR	_	15	pp	_	_
14	Freude	Freude	N	NN	Fem|_|Sg	13	pn	1015	1015
15	strahlte	strahlen	V	VVFIN	3|Sg|Past|_	17	neb	_	_
16	,	,	$	$,	_	0	root	_	_
17	füllten	füllen	V	VVFIN	3|Pl|Past|_	10	cj	_	_
18	Tränen	Träne	N	NN	Fem|Nom|Pl	17	subj	960	960
19	das	die	A	ART	Def|Neut|_|Sg	20	det	_	_
20	Auge	Auge	N	NN	Neut|_|Sg	17	obja	_	_
21	der	die	A	ART	Def|Fem|Gen|Sg	22	det	36	36
22	Mutter	Mutter	N	NN	Fem|Gen|Sg	20	gmod	36	36
23	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	10	expl	_	_
2	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	5	det	_	_
4	beste	gut	A	ADJA	Sup|Masc|Nom|Sg|Wk|	5	attr	_	_
5	Moment	Moment	N	NN	Masc|Nom|Sg	2	pred	_	_
6	,	,	$	$,	_	0	root	_	_
7	das	die	A	ART	Def|Neut|_|Sg	8	det	_	_
8	Eisen	Eisen	N	NN	Neut|_|Sg	10	obja	_	_
9	zu	zu	P	PTKZU	_	10	part	_	_
10	schmieden	schmieden	V	VVINF	_	2	subjc	_	_
11	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Sg|Fem|Nom	2	subj	14	14
2	bat	bitten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	also	also	A	ADV	_	4	adv	125	125
4	Schach	Schach	N	NN	Neut|_|Sg	2	obja	125	125
5	,	,	$	$,	_	0	root	125	125
6	der	die	P	PRELS	Masc|Nom|Sg	10	subj	1444	1444
7	sich	sie	P	PRF	3|_|_	9	obja	_	_
8	schon	schon	A	ADV	_	9	adv	_	_
9	erhoben	erheben	V	VVPP	_	10	aux	_	_
10	hatte	haben	V	VAFIN	3|Sg|Past|Ind	4	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	seinen	seine	A	PPOSAT	Masc|_|Sg	13	det	1444	1444
13	Platz	Platz	N	NN	Masc|_|Sg	20	obja	_	_
14	noch	noch	A	ADV	_	20	adv	_	_
15	einmal	einmal	A	ADV	_	20	adv	_	_
16	auf	auf	P	APPR	Acc	20	pp	_	_
17	einen	eine	A	ART	Indef|Masc|Acc|Sg	19	det	_	_
18	kurzen	kurz	A	ADJA	Pos|Masc|Acc|Sg|_|	19	attr	_	_
19	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	16	pn	_	_
20	einnehmen	einnehmen	V	VVINF	_	22	aux	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	wollen	wollen	V	VMINF	_	2	obji	_	_
23	,	,	$	$,	_	0	root	_	_
24	um	um	K	KOUI	_	32	konj	_	_
25	gemeinschaftlich	gemeinschaftlich	A	ADJD	Pos|	32	adv	_	_
26	mit	mit	P	APPR	Dat	32	pp	_	_
27	ihm	er	P	PPER	3|Sg|_|Dat	26	pn	1444	1444
28	die	die	A	ART	Def|Fem|_|Pl	30	det	_	_
29	nötigsten	nötig	A	ADJA	Sup|Fem|_|Pl|Wk|	30	attr	_	_
30	Festsetzungen	Festsetzung	N	NN	Fem|_|Pl	32	obja	_	_
31	zu	zu	P	PTKZU	_	32	part	_	_
32	treffen	treffen	V	VVINF	_	22	neb	_	_
33	.	.	$	$.	_	0	root	_	_

1	Was	was	P	PWS	Neut|_|Sg	4	obja	_	_
2	sie	sie	P	PPER	3|Sg|Fem|Nom	5	subj	14	14
3	zu	zu	P	PTKZU	_	4	part	_	_
4	sagen	sagen	V	VVINF	_	5	aux	_	_
5	habe	haben	V	VAFIN	3|Sg|Pres|Subj	7	objc	_	_
6	,	,	$	$,	_	0	root	_	_
7	seien	sein	V	VAFIN	3|Pl|Pres|Subj	0	root	_	_
8	nur	nur	A	ADV	_	7	adv	_	_
9	wenige	wenige	A	PIDAT	Neut|Nom|Pl	10	det	_	_
10	Worte	Wort	N	NN	Neut|Nom|Pl	7	subj	_	_
11	.	.	$	$.	_	0	root	_	_

1	Soviel	soviel	P	PIS	_|Nom|Sg	2	subj	_	_
2	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	_
3	gewiß	gewiß	A	ADJD	Pos|	2	pred	_	_
4	,	,	$	$,	_	0	root	_	_
5	Zeit	Zeit	N	NN	Fem|Nom|Sg	6	subj	753	753
6	sei	sein	V	VAFIN	3|Sg|Pres|Subj	2	kon	_	_
7	versäumt	versäumen	V	VVPP	_	8	aux	_	_
8	worden	werden	V	VAPP	_	6	aux	_	_
9	,	,	$	$,	_	0	root	_	_
10	und	und	K	KON	_	6	kon	_	_
11	diese	diese	A	PDAT	Fem|_|Sg	12	det	_	_
12	Versäumnis	Versäumnis	N	NN	Fem|_|Sg	14	obja	_	_
13	wieder	wieder	A	ADV	_	14	adv	_	_
14	einzubringen	einbringen	V	VVIZU	_	15	obji	_	_
15	empfehle	empfehlen	V	VVFIN	_|Sg|Pres|_	10	cj	_	_
16	sich	sie	P	PRF	3|_|_	15	obja	_	_
17	wohl	wohl	A	ADV	_	15	adv	_	_
18	zunächst	zunächst	A	ADV	_	15	adv	_	_
19	.	.	$	$.	_	0	root	_	_

1	Ihre	ihre	A	PPOSAT	Fem|Nom|Sg	4	det	753	753
2	langjährige	langjährig	A	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	1446	1446
3	freundschaftliche	freundschaftlich	A	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	1446	1446
4	Beziehung	Beziehung	N	NN	Fem|Nom|Sg	19	subj	1446	1446
5	zum	zu	P	APPRART	Dat	4	pp	1446	1446
6	alten	alt	A	ADJA	Pos|_|Dat|_|_|	7	attr	1445	1445
7	Konsistorialrat	Konsistorialrat	N	NN	_|Dat|_	5	pn	1445	1445
8	Bocquet	Bocquet	N	NE	Masc|Dat|Sg	7	app	1445	1445
9	,	,	$	$,	_	0	root	_	_
10	der	die	P	PRELS	Masc|Nom|Sg	13	subj	1445	1445
11	sie	sie	P	PPER	3|_|_|_	13	obja	1446	1446
12	selber	selber	A	ADV	_	11	adv	_	_
13	getraut	getrauen	V	VVFIN	3|Sg|Pres|Ind	8	rel	_	_
14	und	und	K	KON	_	13	kon	_	_
15	Victoiren	Victoiren	N	NE	_|Nom|Sg	17	subj	152	152
16	eingesegnet	einsegnen	V	VVPP	_	17	aux	_	_
17	habe	haben	V	VAFIN	3|Sg|Pres|Subj	14	cj	_	_
18	,	,	$	$,	_	0	root	_	_
19	böte	bieten	V	VVFIN	3|Sg|Past|Subj	0	root	_	_
20	dazu	dazu	P	PROAV	_	19	pp	_	_
21	die	die	A	ART	Def|Fem|_|Sg	23	det	_	_
22	beste	gut	A	ADJA	Sup|Fem|_|Sg|_|	23	attr	_	_
23	Gelegenheit	Gelegenheit	N	NN	Fem|_|Sg	19	obja	_	_
24	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	16	expl	_	_
2	werde	werden	V	VAFIN	_|Sg|Pres|_	0	root	_	_
3	leicht	leicht	A	ADJD	Pos|	4	pred	_	_
4	sein	sein	V	VAINF	_	2	aux	_	_
5	,	,	$	$,	_	0	root	_	_
6	an	an	P	APPR	Acc	16	objp	_	_
