32	einem	eine	A	ART	Indef|Masc|Dat|Sg	33	det	_	_
33	Menschen	Mensch	N	NN	Masc|Dat|Sg	0	root	_	_
34	tun	tun	V	VVINF	_	0	root	_	_
35	!	!	$	$.	_	0	root	_	_
36	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	er	er	P	PPER	3|Sg|Masc|Nom	4	subj	10	10
4	sah	sehen	V	VVFIN	3|Sg|Past|Ind	2	cj	_	_
5	mich	ich	P	PPER	1|Sg|_|Acc	4	obja	738	738
6	so	so	A	ADV	_	7	adv	_	_
7	furchtbar	furchtbar	A	ADJD	Pos|	4	adv	_	_
8	an	an	P	PTKVZ	_	4	avz	_	_
9	«	«	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	13	det	54	54
13	Junker	Junker	N	NN	Masc|Nom|Sg	11	subj	54	54
14	,	,	$	$,	_	0	root	_	_
15	da	da	K	KOUS	_	0	root	_	_
16	er	er	P	PPER	3|Sg|Masc|Nom	0	root	10	10
17	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
18	mir	ich	P	PPER	1|Sg|_|Dat	0	root	738	738
19	erzählete	erzählete	N	NE	_|Dat|Sg	18	app	738	738
20	,	,	$	$,	_	0	root	_	_
21	»	»	$	$(	_	0	root	_	_
22	ich	ich	P	PPER	1|Sg|_|Nom	0	root	738	738
23	meint	meinen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	er	er	P	PPER	3|Sg|Masc|Nom	26	subj	10	10
26	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	_
27	mich	ich	P	PPER	1|Sg|_|Acc	30	obja	738	738
28	gar	gar	A	ADV	_	30	adv	_	_
29	selbst	selbst	A	ADV	_	30	adv	_	_
30	erschlagen	erschlagen	V	VVINF	_	26	aux	_	_
31	!	!	$	$.	_	0	root	_	_

1	Dann	dann	A	ADV	_	2	adv	_	_
2	aber	aber	A	ADV	_	3	adv	_	_
3	legte	legen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	10	10
5	sanft	sanft	A	ADJD	Pos|	3	adv	_	_
6	den	die	A	ART	Def|Masc|Acc|Sg	7	det	598	598
7	Arm	Arm	N	NN	Masc|Acc|Sg	3	obja	598	598
8	um	um	P	APPR	Acc	3	objp	_	_
9	mich	ich	P	PRF	1|Sg|Acc	8	pn	_	_
10	und	und	K	KON	_	3	kon	_	_
11	sprach	sprechen	V	VVFIN	_|Sg|Past|Ind	10	cj	_	_
12	:	\:	$	$.	_	0	root	_	_
13	,	,	$	$,	_	0	root	_	_
