6	wo	wo	P	PWAV	_	7	adv	_	_
7	bleibst	bleiben	V	VVFIN	2|Sg|Pres|Ind	4	rel	_	_
8	du	du	P	PPER	2|Sg|_|Nom	7	subj	467	467
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	rief	rufen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
12	sie	sie	P	PPER	3|Sg|Fem|Nom	11	subj	411	411
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	deine	deine	A	PPOSAT	Fem|Nom|Sg	5	det	467	467
4	alte	alt	A	ADJA	Pos|Fem|Nom|Sg|_|	5	attr	_	_
5	Base	Base	N	NN	Fem|Nom|Sg	2	subj	_	_
6	dich	du	P	PPER	2|Sg|_|Acc	8	obja	467	467
7	suchen	suchen	V	VVINF	_	8	obji	_	_
8	gehen	gehen	V	VVINF	_	2	aux	_	_
9	!	!	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	_	_
3	Bas	Bas	F	FM	Neut|_|_	2	app	_	_
4	'	'	$	$(	_	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	6	subj	_	_
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	schön	schön	A	ADJD	Pos|	6	adv	_	_
9	hier	hier	A	ADV	_	6	adv	_	_
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Und	und	K	KON	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_
4	-	-	$	$(	_	0	root	_	_
5	die	die	A	ART	Def|Fem|Nom|Sg	6	det	218	218
6	Alte	Alt	N	NN	Fem|Nom|Sg	7	subj	218	218
7	sah	sehen	V	VVFIN	3|Sg|Past|Ind	2	cj	_	_
8	sich	sie	P	PRF	3|_|_	7	obja	_	_
9	um	um	P	PTKVZ	_	7	avz	_	_
10	-	-	$	$(	_	0	root	_	_
11	»	»	$	$(	_	0	root	_	_
12	du	du	P	PPER	2|Sg|_|Nom	13	subj	467	467
13	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
14	ja	ja	A	ADV	_	13	adv	_	_
15	ganz	ganz	A	ADV	_	16	adv	_	_
16	allein	allein	A	ADV	_	13	adv	_	_
17	;	;	$	$.	_	0	root	_	_
18	wo	wo	P	PWAV	_	19	adv	_	_
19	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
20	der	die	A	ART	Def|Masc|Nom|Sg	21	det	_	_
21	Hund	Hund	N	NN	Masc|Nom|Sg	19	subj	_	_
22	,	,	$	$,	_	0	root	_	_
23	der	die	A	ART	Def|Masc|Nom|Sg	24	det	_	_
24	Heudan	Heudan	N	NN	Masc|Nom|Sg	21	app	_	_
25	?	?	$	$.	_	0	root	_	_
26	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Der	die	A	ART	Def|Masc|Nom|Sg	3	det	345	345
3	Hund	Hund	N	NN	Masc|Nom|Sg	0	root	345	345
4	?	?	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
7	Dagmar	Dagmar	N	NE	_|Nom|Sg	6	subj	163	163
8	hastig	hastig	A	ADJD	Pos|	6	adv	_	_
9	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|_|_|_	0	root	_	_
4	nicht	nicht	P	PTKNEG	_	0	root	_	_
5	hier	hier	A	ADV	_	4	adv	_	_
6	?	?	$	$.	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ei	Ei	N	NN	Neut|_|Sg	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Kind	Kind	N	NN	Neut|_|Sg	2	app	_	_
5	,	,	$	$,	_	0	root	_	_
6	das	die	P	PDS	Neut|_|Sg	12	obja	_	_
7	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
8	du	du	P	PPER	2|Sg|_|Nom	7	subj	467	467
9	ja	ja	A	ADV	_	12	adv	_	_
10	doch	doch	A	ADV	_	12	adv	_	_
11	selber	selber	A	ADV	_	12	adv	_	_
12	wissen	wissen	V	VVINF	_	7	aux	_	_
13	!	!	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|_|_	0	root	262	262
3	Bas	Bas	N	NE	Neut|_|_	2	app	262	262
4	'	'	$	$(	_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	du	du	P	PPER	2|Sg|_|Nom	7	subj	467	467
7	hättest	haben	V	VAFIN	2|Sg|Past|Subj	0	root	_	_
8	die	die	A	ART	Def|Fem|_|Sg	9	det	324	324
9	Nachtigall	Nachtigall	N	NN	Fem|_|Sg	11	obja	324	324
10	nur	nur	A	ADV	_	11	adv	_	_
11	hören	hören	V	VVINF	_	12	aux	_	_
12	sollen	sollen	V	VMINF	_	7	aux	_	_
13	!	!	$	$.	_	0	root	_	_
14	«	«	$	$(	_	0	root	_	_
15	Und	und	K	KON	_	0	root	_	_
16	wie	wie	P	PWAV	_	17	adv	_	_
