34	Mitte	Mitte	N	NN	Fem|Nom|Sg	38	subj	105	105
35	ein	eine	A	ART	Indef|Neut|_|Sg	37	det	_	_
36	stehendes	stehend	A	ADJA	Pos|Neut|_|Sg|St|<PPRES	37	attr	_	_
37	Wasser	Wasser	N	NN	Neut|_|Sg	38	obja	_	_
38	einnahm	einnehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
39	.	.	$	$.	_	0	root	_	_

1	Jedenfalls	jedenfalls	A	ADV	_	2	adv	_	_
2	gab	geben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
4	da	da	A	ADV	_	2	adv	_	_
5	einen	eine	A	ART	Indef|Masc|Acc|Sg	6	det	106	106
6	Quell	Quell	N	NN	Masc|Acc|Sg	2	obja	106	106
7	,	,	$	$,	_	0	root	106	106
8	welcher	welche	P	PRELS	Masc|Nom|Sg	11	subj	106	106
9	so	so	A	ADV	_	10	adv	_	_
10	schwach	schwach	A	ADJD	Pos|	11	pred	_	_
11	war	sein	V	VAFIN	3|Sg|Past|Ind	6	rel	_	_
12	,	,	$	$,	_	0	root	_	_
13	daß	daß	K	KOUS	_	16	konj	_	_
14	er	er	P	PPER	3|Sg|Masc|Nom	16	subj	106	106
15	nicht	nicht	P	PTKNEG	_	16	adv	_	_
16	abfloß	abfloß	V	VVFIN	3|Sg|_|_	11	objc	_	_
17	,	,	$	$,	_	0	root	_	_
18	sondern	sondern	K	KON	_	16	kon	_	_
19	gleich	gleich	A	ADV	_	25	adv	_	_
20	wieder	wieder	A	ADV	_	25	adv	_	_
21	in	in	P	APPR	Acc	25	pp	_	_
22	den	die	A	ART	Def|Masc|Acc|Sg	24	det	_	_
23	porösen	porösen	A	ADJA	_|Masc|Acc|Sg|_	24	attr	_	_
24	Waldboden	Waldboden	N	NN	Masc|Acc|Sg	21	pn	_	_
25	versickerte	versickern	V	VVFIN	_|Sg|Past|_	18	cj	_	_
26	.	.	$	$.	_	0	root	_	_

1	Das	die	A	ART	Def|Neut|Nom|Sg	2	det	110	110
2	Plätzchen	Plätzchen	N	NN	Neut|Nom|Sg	3	subj	110	110
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	von	von	P	APPR	_	11	pp	_	_
5	drei	drei	C	CARD	_	6	attr	_	_
6	Seiten	Seite	N	NN	Fem|_|Pl	4	pn	_	_
7	von	von	P	APPR	Dat	11	pp	_	_
8	Bäumen	Baum	N	NN	_|Dat|_	7	pn	450	450
9	und	und	K	KON	_	8	kon	_	_
10	Büschen	Busch	N	NN	_|Dat|_	9	cj	_	_
11	eingeschlossen	eingeschlossen	V	VVPP	_	3	aux	_	_
12	;	;	$	$.	_	0	root	_	_
13	die	die	A	ART	Def|_|_|_	14	det	_	_
14	vierte	viert	A	ADJA	_|_|_	15	subj	_	_
15	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
16	offen	offen	A	ADJD	Pos|	15	pred	_	_
17	;	;	$	$.	_	0	root	_	_
18	da	da	P	PTKVZ	_	19	avz	_	_
19	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
20	der	die	A	ART	Def|Masc|Nom|Sg	22	det	107	107
21	natürliche	natürlich	A	ADJA	Pos|Masc|Nom|Sg|Wk|	22	attr	107	107
22	Weg	Weg	N	NN	Masc|Nom|Sg	19	subj	107	107
23	vorüber	vorüber	A	ADV	_	19	adv	107	107
24	,	,	$	$,	_	0	root	107	107
25	welcher	welche	P	PRELS	Masc|Nom|Sg	37	subj	107	107
26	von	von	P	APPR	_	37	pp	_	_
27	der	die	A	ART	Def|_|_|_	28	det	167	167
28	Hazienda	Hazienda	N	NE	_|_|_	26	pn	167	167
29	del	del	N	NE	_|_|_	28	app	167	167
30	Arroyo	Arroyo	N	NE	_|_|_	29	app	167	167
31	nach	nach	P	APPR	Dat	26	kon	_	_
32	der	die	A	ART	Def|Fem|Dat|Sg	33	det	98	98
33	Fuente	Fünte	N	NN	Fem|Dat|Sg	31	pn	98	98
34	de	de	F	FM	Fem|Dat|Sg	33	app	98	98
